YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0421350	0.9998870	0.9999989	0.0284330	0.2674346	0.9003672	0.5176577	1.0000000	1.0000000	1.0000000
0.4072358	0.4999435	0.9999956	0.0390619	0.4219067	0.8876095	0.5176577	1.0000000	1.0000000	1.0000000
0.0844140	0.9987258	0.5000011	0.0289727	0.2851959	0.8998008	0.5176577	1.0000000	1.0000000	1.0000000
0.0842700	0.9998870	0.9999999	0.0144980	0.2851375	0.8998026	0.5176577	1.0000000	1.0000000	1.0000000
0.0842700	0.9998870	0.9999991	0.0267575	0.1423438	0.9018531	0.5176577	1.0000000	1.0000000	1.0000000
0.0842700	0.9998870	0.9999777	0.0572866	0.5256334	0.4306361	0.5176577	1.0000000	1.0000000	1.0000000
0.0842700	0.9998870	0.9999988	0.0285270	0.2705524	0.9779774	0.2588320	1.0000000	1.0000000	1.0000000
0.0842700	0.9998870	0.9999986	0.0300285	0.3115223	0.8046566	0.7628701	0.5000001	1.0000000	1.0000000
0.0842700	0.9998868	0.9993805	0.1261160	0.2851375	0.8998026	0.5176577	1.0000000	0.5000001	1.0000000
0.0842700	0.9998870	0.9999997	0.0289712	0.2851375	0.8998026	0.5176577	1.0000000	1.0000000	0.5000001
