YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0000000	0.1573016	0.2865564	0.9999999	0.0000000	0.3761098	1.0000000	0.9970248	0.5786685	1.0000000
0.0000000	0.6890367	0.9999998	0.0000001	0.3009611	0.3761098	1.0000000	0.2892176	0.9833861	1.0000000
0.0000000	0.5297835	0.7164253	0.2523349	0.6808464	1.0000000	0.0000000	0.2397293	0.9912427	1.0000000
0.0000000	0.3083486	0.4504279	0.5698289	0.3009611	0.3761098	1.0000000	0.0000000	1.0000000	1.0000000
0.0000000	0.3083486	0.4504279	0.5698289	0.3009611	0.3761098	1.0000000	0.4450811	0.0000000	1.0000000
0.0000000	0.3083486	0.4504279	0.5698289	0.3009611	0.3761098	1.0000000	0.7566016	0.7238634	0.0000000
0.8101632	0.6890367	0.9999998	0.0000001	0.0000000	0.3761098	1.0000000	0.5073047	0.5752073	1.0000000
0.8102761	0.6890386	1.0000000	0.0000000	0.6808459	1.0000000	0.0000001	0.0027066	0.6538486	1.0000000
0.8101632	0.6890367	0.9999998	0.0000001	0.3009611	0.3761098	1.0000000	0.0717334	0.0000000	1.0000000
0.1217601	0.1592757	0.2884468	0.9934991	0.0000000	1.0000000	0.0000000	0.9931632	0.5465639	1.0000000
