"Time"	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C

0	0.9982006	0.9320736	0.8426263	0.9999990	0.0109119	0.2567239	1.0000000	0.1272333	0.9969407	0.7717964
50	0.9993338	0.9368392	0.8918186	0.9608399	0.0109194	0.2693918	0.8237900	0.1271928	0.9969414	0.7705494
100	0.9995546	0.9447171	0.9112014	0.9453028	0.0110349	0.3022182	0.7846062	0.1272978	0.9969342	0.7668396
150	0.9996034	0.9491645	0.9183070	0.9391383	0.0114293	0.3299948	0.7758929	0.1277306	0.9969119	0.7631847
200	0.9996164	0.9511038	0.9207903	0.9366923	0.0121508	0.3457437	0.7739554	0.1283833	0.9968790	0.7607284
250	0.9996205	0.9518692	0.9216147	0.9357217	0.0130113	0.3530496	0.7735245	0.1290488	0.9968450	0.7594302
300	0.9996219	0.9521519	0.9218679	0.9353365	0.0137625	0.3560667	0.7734287	0.1295877	0.9968166	0.7589041
350	0.9996224	0.9522498	0.9219350	0.9351835	0.0142905	0.3572237	0.7734074	0.1299570	0.9967965	0.7587904
400	0.9996226	0.9522809	0.9219465	0.9351227	0.0146110	0.3576456	0.7734027	0.1301760	0.9967841	0.7588503
450	0.9996226	0.9522895	0.9219442	0.9350984	0.0147869	0.3577939	0.7734016	0.1302874	0.9967775	0.7589547
500	0.9996227	0.9522911	0.9219402	0.9350888	0.0148769	0.3578447	0.7734014	0.1303330	0.9967745	0.7590473
550	0.9985632	0.9481810	0.8653599	0.9742441	0.0148387	0.3402927	0.9496113	0.1303514	0.9967743	0.7605014
600	0.9983346	0.9399903	0.8468360	0.9897797	0.0141190	0.3037530	0.9887951	0.1302011	0.9967840	0.7645875
650	0.9982564	0.9347231	0.8420768	0.9959438	0.0129749	0.2783787	0.9975084	0.1296988	0.9968105	0.7684979
700	0.9982209	0.9325510	0.8414087	0.9983897	0.0120606	0.2656519	0.9994459	0.1289777	0.9968473	0.7709627
750	0.9982059	0.9319236	0.8416953	0.9993604	0.0115039	0.2601549	0.9998768	0.1282744	0.9968833	0.7721152
800	0.9982008	0.9318454	0.8420574	0.9997456	0.0112029	0.2579794	0.9999726	0.1277340	0.9969115	0.7724581
850	0.9981996	0.9319052	0.8423130	0.9998985	0.0110501	0.2571671	0.9999939	0.1273876	0.9969301	0.7724161
900	0.9981997	0.9319728	0.8424647	0.9999593	0.0109755	0.2568762	0.9999986	0.1272011	0.9969405	0.7722482
950	0.9982001	0.9320201	0.8425477	0.9999834	0.0109403	0.2567751	0.9999997	0.1271210	0.9969454	0.7720797
1000	0.9982003	0.9320482	0.8425908	0.9999929	0.0109240	0.2567408	0.9999999	0.1271003	0.9969469	0.7719548

0	0.9982006	0.9320736	0.8426263	0.9999990	0.0109119	0.2567239	1.0000000	0.1272333	0.9969407	0.7717964
50	0.9990360	0.9320768	0.8426300	0.9999991	0.0108077	0.1903790	0.4445890	0.1272028	0.9969421	0.7718368
