"Time"	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W

0	0.9475766	0.8918563	0.8830855	0.4602248	0.4782944	0.6740092	0.6331312	0.1136632	1.0495288	0.0469470
50	1.0041353	0.9484664	1.0290831	0.1617025	0.5947905	0.6609395	0.5901882	0.1604777	0.9950554	0.0221205
100	0.9952340	0.9940737	0.9980938	0.1220582	0.5901181	0.6745209	0.6087100	0.1487086	1.0110296	0.0432734
150	1.0476417	1.0011000	1.0089727	0.1039468	0.6194396	0.7166128	0.6245744	0.1727762	0.9389706	0.0246890
200	0.9320299	0.9624720	0.9427053	0.1177022	0.5998865	0.6599103	0.5749794	0.1941432	0.9617820	0.0380746
250	0.9170713	0.9622739	1.0003490	0.1443725	0.6802742	0.6538031	0.5633298	0.2333864	0.9601787	0.0291426
300	0.9812407	0.9976147	0.9206965	0.1117027	0.6466294	0.6753048	0.4820288	0.1932543	0.9472959	0.0380416
350	1.0547464	0.9225397	1.0814633	0.1222983	0.5783454	0.6941649	0.4665457	0.2241158	0.9638337	0.0254564
400	1.0646037	0.9086343	1.0646750	0.1219399	0.6616857	0.6940898	0.5081656	0.2413124	1.0453755	0.0293281
450	1.0624607	0.9239836	0.9911966	0.0986439	0.6958412	0.7302509	0.4449669	0.2628587	0.9820654	0.0078164
500	1.0000891	0.9591519	1.0653028	0.0880515	0.6355124	0.6701650	0.4338926	0.2203227	0.9030382	0.0149787
550	1.0312308	0.9266479	1.0393064	0.1179681	0.4979436	0.7306080	0.4433112	0.1686601	1.0111655	0.0180287
600	1.0839855	0.9278294	1.0626636	0.2063892	0.4362435	0.7271987	0.4652235	0.1828192	1.0973185	0.0165629
650	0.9638567	0.8763058	1.0352123	0.2382698	0.4886799	0.7307359	0.5015573	0.1270704	1.0241682	0.0317073
700	0.9957254	0.8924756	1.0528825	0.2701027	0.5033497	0.6855787	0.5603035	0.1245126	1.0260251	0.0448041
750	0.9576430	0.9397984	1.0611600	0.1922125	0.4957508	0.6722384	0.6602730	0.1124658	1.0234442	0.0335224
800	0.9872465	0.8907163	1.0250024	0.2952554	0.3787302	0.6594423	0.6195759	0.0923022	1.0373107	0.0288530
850	1.0314497	1.0324044	0.9485050	0.4209573	0.3370783	0.6467544	0.6411700	0.0988225	0.9584573	0.0134223
900	1.0034292	0.9303564	0.8641838	0.5251923	0.3346140	0.6893823	0.7403962	0.0967428	1.0110051	0.0302930
950	1.0270531	0.9375023	0.8964116	0.5412791	0.3905639	0.6870687	0.6873204	0.1128070	0.9564560	0.0345557
1000	0.9999063	0.9661351	0.8863034	0.5429435	0.4180585	0.7234640	0.6570454	0.0877099	0.9318001	0.0338204

0	0.9475766	0.8918563	0.8830855	0.4602248	0.4782944	0.6740092	0.6331312	0.1136632	1.0495288	0.0469470
50	1.0164428	0.8183393	1.0142326	0.3217704	0.5032459	0.7226711	0.3994597	0.1442867	0.9588742	0.0180635
100	0.9585374	0.7549578	0.9176311	0.2183275	0.4805921	0.7239239	0.2994957	0.1432123	0.9956188	0.0186624
150	0.9937752	0.8031283	1.0070523	0.1769487	0.5534721	0.7607813	0.2389041	0.1505750	1.0280558	0.0300528
200	0.9973826	0.8994345	0.9127631	0.1531607	0.5019470	0.7706314	0.2579393	0.1791757	0.9759057	0.0239270
250	0.9866180	0.9070192	1.0449976	0.1354856	0.5742011	0.8202439	0.2889802	0.1779309	0.9727067	0.0230370
300	0.9502761	0.9470173	1.0072609	0.1361560	0.6018231	0.8730978	0.2626476	0.1698098	0.9984138	0.0275083
350	0.9626782	0.9490022	0.9960398	0.1812593	0.5980643	0.8489454	0.2771992	0.1946367	0.8980778	0.0234747
400	1.0140996	0.9278062	1.0268315	0.1983065	0.5863342	0.8390027	0.2430497	0.2056713	0.9803401	0.0459731
450	0.9642632	0.9551483	1.0037944	0.1747634	0.5937445	0.7605658	0.2278913	0.1926552	1.0141441	0.0223915
500	0.9601339	0.9323897	1.0636108	0.1375320	0.5760830	0.8293424	0.2477848	0.1906099	1.0578926	0.0214632
550	0.9328888	0.9846302	1.0236047	0.0970980	0.5359904	0.7469098	0.4902560	0.1779633	1.0241763	0.0241888
600	0.9786570	0.8686576	1.0489821	0.1451887	0.5706674	0.7436248	0.5301614	0.1957078	1.0134014	0.0199321
650	0.9993855	0.8794886	1.0098911	0.1430997	0.4830285	0.6491507	0.5388833	0.2025666	1.0028350	0.0284391
700	0.8849348	0.9529926	1.0107389	0.1762123	0.3491006	0.7128439	0.5637844	0.2030431	1.0055697	0.0086172
750	0.9807916	0.9601159	1.0716757	0.3891200	0.3638772	0.6485093	0.5246782	0.1304946	0.9424636	0.0112054
800	0.9135297	0.8923091	1.0102807	0.4032407	0.4172915	0.7126198	0.5032065	0.1378019	0.9662719	0.0357695
850	0.9598353	0.8863222	0.8340042	0.3958372	0.3951572	0.6850823	0.5636717	0.1107816	0.9514785	0.0143437
900	0.9845375	0.8091797	0.9113793	0.3532687	0.4409477	0.7400959	0.6818048	0.1234912	1.0125931	0.0388757
950	0.9652659	0.8804245	0.8921588	0.2818688	0.4074764	0.6985671	0.6081377	0.1051538	1.0082167	0.0206459
1000	0.9873820	0.8568139	0.9322123	0.3379452	0.3884024	0.6404677	0.6052480	0.0996374	0.9707244	0.0406756

0	0.9475766	0.8918563	0.8830855	0.4602248	0.4782944	0.6740092	0.6331312	0.1136632	1.0495288	0.0469470
50	0.9728232	0.9599903	0.9883621	0.1910376	0.3707156	0.6580175	0.3558947	0.4588354	1.0687241	0.0383024
100	1.0602708	0.8852945	0.9587780	0.2004338	0.3699743	0.6959880	0.2333103	0.5402011	1.0297637	0.0322702
150	1.0075266	0.8512115	0.9441288	0.2657106	0.3898454	0.7399603	0.1575918	0.6538954	0.8939657	0.0204147
200	1.0370489	0.8621346	0.9361706	0.2274362	0.5568359	0.8408018	0.1156060	0.6549347	1.0352467	0.0220245
250	0.9788216	0.9092437	0.9260390	0.1043212	0.5890989	0.9347760	0.0825264	0.6565621	1.0095130	0.0270706
300	0.9921043	1.0081919	0.9327806	0.0645499	0.6596351	0.9573026	0.0956653	0.6996603	1.0194172	0.0258125
350	0.9413469	0.9711739	0.9011704	0.0477707	0.7576162	0.9931983	0.0742148	0.6021452	1.0469187	0.0294395
400	0.9631206	0.9239995	0.9753744	0.0266185	0.6977077	0.9695321	0.0940086	0.6765916	1.0169467	0.0336848
450	0.8572426	0.8797809	1.0488196	0.0271647	0.6452257	1.0015294	0.1099116	0.6609880	1.0361111	0.0302134
500	0.9839915	0.9530365	0.9663794	0.0208912	0.7507442	0.9700055	0.1112698	0.7518230	1.0570232	0.0306158
550	0.9749075	0.9838860	1.0827947	0.0759117	0.7168922	0.9395612	0.2053863	0.4316731	0.9540545	0.0104459
600	0.9711830	0.9582405	1.0931706	0.0772178	0.7693926	0.9450611	0.2544145	0.2563864	1.0486868	0.0217146
650	1.0695764	0.9556993	1.0182414	0.0779723	0.7679594	0.8910162	0.3366304	0.2516807	1.0720700	0.0227458
700	0.9218570	0.8989004	1.0942194	0.0899777	0.6115776	0.8461250	0.4554366	0.2366553	1.0441536	0.0247631
750	1.0366183	0.9146036	1.0257616	0.1802408	0.6303578	0.8086925	0.4499059	0.2082154	1.0684501	0.0216503
800	1.0167072	0.8680304	1.0323342	0.1598722	0.5048839	0.7969959	0.4798288	0.1962808	1.0909298	0.0339211
850	0.9470893	0.8938345	1.0655928	0.1413962	0.5967617	0.7375349	0.5112717	0.2362528	0.9799202	0.0200263
900	1.0218559	0.9759284	0.9578233	0.1468358	0.5807133	0.7347340	0.5397127	0.1771573	0.9561593	0.0286919
950	1.0587028	1.0320852	1.0179368	0.1260212	0.5601081	0.6835289	0.5280125	0.1721998	0.9410891	0.0278598
1000	1.0171238	1.0004105	1.0823379	0.1773658	0.5464036	0.6652903	0.5379985	0.1627878	1.0717452	0.0273716

0	0.9475766	0.8918563	0.8830855	0.4602248	0.4782944	0.6740092	0.6331312	0.1136632	1.0495288	0.0469470
50	0.3626711	0.7601943	0.2926270	0.2569973	0.4527500	0.6648749	0.5805207	0.1571415	0.9109909	0.0160133
100	0.1323508	0.5013319	0.1945572	0.2421438	0.4852251	0.6066990	0.5547480	0.1546406	0.9429654	0.0300329
150	0.1002461	0.3465073	0.2140399	0.1923089	0.4631544	0.6932590	0.6190372	0.1862953	0.8700963	0.0384561
200	0.1041992	0.2869728	0.1632991	0.1927023	0.4597909	0.6552796	0.5869305	0.1698100	0.9765338	0.0275394
250	0.0830453	0.2283132	0.1691045	0.3071026	0.3551221	0.6143624	0.5075695	0.1462980	1.0044867	0.0369563
300	0.0663363	0.2531247	0.1529138	0.4064093	0.3041002	0.6798331	0.5089874	0.1350439	0.9834351	0.0274376
350	0.0866770	0.3127467	0.1448366	0.6462744	0.3799009	0.7156198	0.5594748	0.1408632	1.0215359	0.0312713
400	0.0702575	0.2914338	0.1082241	0.4930231	0.4456567	0.7477487	0.5687583	0.1621391	1.0378802	0.0501791
450	0.0666859	0.2538882	0.1199103	0.3550983	0.4625063	0.6857779	0.5627480	0.1905674	1.0019353	0.0355832
500	0.0501162	0.2233594	0.1562659	0.3601555	0.4151752	0.6896021	0.5656039	0.1816031	1.0092305	0.0337919
550	0.7390787	0.1211013	0.7216634	0.4034662	0.4551141	0.7078978	0.6430357	0.1388302	1.0452318	0.2845207
600	0.9975848	0.3482682	0.8734671	0.4188466	0.3629025	0.7010783	0.5728148	0.1221503	0.9464497	0.1407938
650	1.0682893	0.6778569	0.8473703	0.5762776	0.3863122	0.6520870	0.6423811	0.0966637	0.8782813	0.0668512
700	0.9209818	0.8480757	0.8457118	0.4080207	0.4418727	0.6584583	0.6490375	0.1109705	1.0545893	0.0450736
750	1.0064439	0.8033982	0.8605475	0.3633242	0.4073958	0.6991375	0.5843625	0.0922236	1.0260696	0.0455579
800	0.9559993	0.9252302	0.8873667	0.5033767	0.4025863	0.6606827	0.5841136	0.1178138	0.9136652	0.0353401
