YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.0405823	0.6497882	0.0493229	0.0874612	0.2001237	0.7197238	0.0542142	0.0550041	0.7570079	0.8370403
0.0953189	0.4088537	0.0140721	0.0887382	0.1671282	0.7672981	0.0304034	0.0518908	0.6870231	0.8127028
0.1446451	0.7469115	0.0029856	0.1573145	0.1998997	0.6294331	0.0451178	0.0378624	0.6208425	0.7651557
0.0315584	0.6115667	0.0131624	0.0288263	0.1945028	0.6194286	0.0392792	0.0305138	0.6016855	0.6783427
0.0314967	0.7680430	0.0141652	0.0203211	0.1733585	0.7586901	0.0498841	0.0721171	0.5973679	0.8056314
0.5273833	0.5379170	0.1178474	0.5188502	0.4311657	0.4987534	0.1522162	0.1865691	0.6260810	0.8598602
0.0482526	0.7245298	0.0221226	0.1094299	0.1954821	0.7388589	0.0171793	0.0823557	0.6745291	0.9571185
0.0576564	0.7148720	0.0044202	0.0749599	0.2099485	0.8232338	0.0540616	0.0202428	0.6450988	0.6714342
0.0630578	0.8694997	0.0036727	0.0744271	0.1655738	0.8331341	0.0410074	0.0546912	0.3621329	0.7936797
0.0738342	0.7059645	0.0136653	0.0750168	0.3055129	0.6935478	0.0329567	0.0552593	0.4745435	0.4190109
