YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.3391414	0.3047275	0.4957699	0.3320308	0.3482877	0.1826653	0.0707636	0.6269382	0.3489845	0.7555260
0.2259200	0.3939510	0.6097263	0.2811445	0.5549061	0.2443719	0.0977377	0.7992281	0.4876438	0.7711774
0.3248216	0.3600237	0.5546160	0.4286434	0.4582143	0.0253308	0.0039164	0.6413826	0.5902954	0.7456322
0.4432303	0.2952613	0.5199529	0.3461395	0.6495052	0.1541324	0.1040396	0.3067271	0.5892842	0.5285075
0.2353832	0.3921389	0.5439729	0.3858117	0.6343987	0.0439926	0.0271109	0.5693544	0.6435539	0.6631903
0.7155782	0.3930418	0.4767959	0.3579354	0.2028507	0.1902054	0.0838873	0.6073434	0.6933715	0.7608909
0.5112287	0.3544222	0.5737819	0.4261116	0.5115749	0.0782285	0.0651730	0.6105464	0.5733723	0.5721027
0.2297900	0.3865501	0.4914555	0.4286259	0.5490116	0.0442498	0.0622109	0.7071408	0.7376195	0.5879223
0.4256350	0.3706255	0.5161179	0.3487301	0.2767033	0.0835735	0.0843196	0.6595027	0.6357765	0.6019336
0.1600321	0.4813411	0.5615349	0.5109964	0.3142201	0.2378371	0.1215529	0.3840502	0.7079631	0.6763444
