"Time"	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C

0	0.8602678	0.6323640	0.9925786	0.0646597	0.9045162	0.9456606	0.9985115	0.0195822	0.2096745	1.0000000
50	0.8604142	0.6326150	0.9925789	0.0646597	0.9046324	0.9457371	0.9985153	0.0195677	0.2097803	1.0000000
100	0.8605833	0.6326522	0.9925791	0.0646597	0.9046113	0.9457913	0.9985186	0.0195621	0.2098834	1.0000000
150	0.8606846	0.6325759	0.9925791	0.0646597	0.9045363	0.9458203	0.9985208	0.0195623	0.2099385	1.0000000
200	0.8607085	0.6324836	0.9925792	0.0646597	0.9044703	0.9458303	0.9985217	0.0195647	0.2099471	1.0000000
250	0.8606864	0.6324267	0.9925792	0.0646597	0.9044381	0.9458306	0.9985219	0.0195666	0.2099310	1.0000000
300	0.8606539	0.6324121	0.9925792	0.0646597	0.9044353	0.9458284	0.9985218	0.0195673	0.2099115	1.0000000
350	0.8606316	0.6324233	0.9925792	0.0646597	0.9044468	0.9458273	0.9985217	0.0195670	0.2098996	1.0000000
400	0.8606243	0.6324409	0.9925792	0.0646597	0.9044591	0.9458279	0.9985216	0.0195663	0.2098966	1.0000000
450	0.8606271	0.6324534	0.9925792	0.0646597	0.9044660	0.9458294	0.9985217	0.0195658	0.2098992	1.0000000
500	0.8606331	0.6324577	0.9925792	0.0646597	0.9044672	0.9458309	0.9985218	0.0195656	0.2099030	1.0000000
550	0.8606379	0.6324563	0.9925792	0.0646597	0.9044652	0.9458318	0.9985218	0.0195655	0.2099057	1.0000000
600	0.8606398	0.6324531	0.9925792	0.0646597	0.9044627	0.9458321	0.9985219	0.0195656	0.2099066	1.0000000
650	0.8606396	0.6324504	0.9925792	0.0646597	0.9044610	0.9458321	0.9985219	0.0195657	0.2099063	1.0000000
700	0.8606385	0.6324493	0.9925792	0.0646597	0.9044606	0.9458319	0.9985219	0.0195658	0.2099056	1.0000000
750	0.8606375	0.6324494	0.9925792	0.0646597	0.9044608	0.9458318	0.9985219	0.0195658	0.2099051	1.0000000
800	0.8606371	0.6324500	0.9925792	0.0646597	0.9044613	0.9458317	0.9985219	0.0195657	0.2099048	1.0000000
850	0.8606370	0.6324505	0.9925792	0.0646597	0.9044616	0.9458318	0.9985219	0.0195657	0.2099049	1.0000000
900	0.8606372	0.6324508	0.9925792	0.0646597	0.9044618	0.9458318	0.9985219	0.0195657	0.2099050	1.0000000
950	0.8606374	0.6324508	0.9925792	0.0646597	0.9044617	0.9458318	0.9985219	0.0195657	0.2099051	1.0000000
1000	0.8606375	0.6324507	0.9925792	0.0646597	0.9044616	0.9458319	0.9985219	0.0195657	0.2099052	1.0000000

0	0.8602678	0.6323640	0.9925786	0.0646597	0.9045162	0.9456606	0.9985115	0.0195822	0.2096745	1.0000000
50	0.8587704	0.6073065	0.9925789	0.0646624	0.6554738	0.9008206	0.9985149	0.0196071	0.2008570	0.6401362
100	0.8489185	0.5823735	0.9925782	0.0647130	0.4233579	0.8458013	0.9985141	0.0195342	0.1539066	0.3042915
150	0.8341671	0.5749052	0.9925688	0.0650288	0.3207490	0.8124799	0.9985355	0.0187365	0.1100974	0.1474873
200	0.8232742	0.5795915	0.9925244	0.0658229	0.2841874	0.7970012	0.9986291	0.0175416	0.0880677	0.0849567
250	0.8199359	0.5878244	0.9924191	0.0667888	0.2723809	0.7917411	0.9987814	0.0165038	0.0791951	0.0614764
300	0.8221071	0.5935498	0.9922687	0.0675224	0.2687759	0.7911022	0.9989405	0.0157991	0.0759715	0.0528919
350	0.8258750	0.5950554	0.9921174	0.0679416	0.2677219	0.7919772	0.9990706	0.0153808	0.0748665	0.0497928
400	0.8285141	0.5936830	0.9919974	0.0681425	0.2674271	0.7930213	0.9991623	0.0151525	0.0745015	0.0486807
450	0.8292615	0.5915760	0.9919170	0.0682284	0.2673492	0.7938334	0.9992208	0.0150345	0.0743840	0.0482830
500	0.8286893	0.5901706	0.9918691	0.0682623	0.2673302	0.7943927	0.9992556	0.0149752	0.0743468	0.0481409
550	0.8296986	0.6151165	0.9918533	0.0674286	0.5408290	0.8396839	0.9992753	0.0149402	0.0746205	0.4079540
600	0.8394557	0.6401987	0.9919472	0.0659358	0.7984863	0.8949947	0.9992868	0.0149049	0.0887628	0.7437806
650	0.8527379	0.6479498	0.9921338	0.0651448	0.9153901	0.9288467	0.9992930	0.0149966	0.1300043	0.9005783
700	0.8621526	0.6442142	0.9923117	0.0648284	0.9503388	0.9456189	0.9992857	0.0154609	0.1695483	0.9631066
750	0.8656774	0.6371660	0.9924354	0.0647149	0.9471951	0.9524854	0.9992456	0.0163162	0.1931360	0.9865861
800	0.8649670	0.6318722	0.9925077	0.0646765	0.9327538	0.9541544	0.9991608	0.0172893	0.2037348	0.9951703
850	0.8626539	0.6297725	0.9925456	0.0646642	0.9200535	0.9533825	0.9990405	0.0181081	0.2074701	0.9982693
900	0.8606748	0.6300672	0.9925641	0.0646606	0.9123058	0.9517669	0.9989103	0.0186728	0.2085589	0.9993813
950	0.8597634	0.6313046	0.9925726	0.0646597	0.9084069	0.9501380	0.9987945	0.0190177	0.2089879	0.9997791
1000	0.8597572	0.6323946	0.9925764	0.0646595	0.9065675	0.9488170	0.9987051	0.0192199	0.2093673	0.9999212

0	0.8602678	0.6323640	0.9925786	0.0646597	0.9045162	0.9456606	0.9985115	0.0195822	0.2096745	1.0000000
50	0.8706593	0.5511949	0.7834518	0.0646597	0.9049441	0.9108792	0.9678925	0.2249175	0.2045868	0.8950464
100	0.8587207	0.4640493	0.5487706	0.0646596	0.9111481	0.7629887	0.7089962	0.4948211	0.1780992	0.7970980
150	0.8160240	0.4284863	0.4162252	0.0646594	0.9286999	0.6037186	0.4289172	0.6754366	0.1453716	0.7513664
