YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.1013554	0.6894260	0.2073933	0.2595828	0.4308491	0.7621510	0.1401561	0.3607959	0.6262889	0.6564726
0.1931441	0.6537772	0.5659008	0.4169977	0.4040651	0.6507091	0.1564102	0.4028199	0.7818306	0.7573001
0.1467612	0.7895162	0.3426069	0.3823014	0.5046721	0.6427662	0.1629974	0.4102917	0.8568963	0.8365380
0.1688122	0.6063836	0.5800013	0.3627097	0.4095141	0.5732907	0.5749157	0.0958756	0.7220072	0.7675266
0.1409479	0.8292787	0.6401094	0.2320306	0.5653042	0.7391450	0.3917476	0.2585215	0.7649440	0.2650170
0.0561446	0.7007837	0.6594928	0.3087101	0.3956649	0.4970957	0.2187256	0.2214163	0.6657472	0.6308889
0.1220976	0.7626805	0.4645107	0.2913045	0.4673160	0.7941818	0.2271247	0.3431830	0.8221311	0.7115503
0.1536831	0.7976808	0.4464923	0.2337413	0.4408773	0.6701094	0.0964247	0.2782540	0.6399357	0.5344828
0.2244659	0.8002924	0.5001554	0.3404576	0.4813165	0.3977338	0.2499856	0.2177574	0.5908629	0.7131696
0.1026760	0.8013617	0.5826695	0.3482615	0.4458578	0.6004438	0.4066814	0.2072415	0.7968539	0.6159264
