YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0000000	0.1960199	0.3122563	0.9566559	0.0000000	0.4003043	0.9882857	0.9744274	0.6149428	0.9587731
0.0000000	0.6438481	1.0376816	0.0000000	0.3291394	0.4351780	1.0332939	0.2684791	1.0036877	0.9452110
0.0000000	0.6173829	0.7293652	0.2588819	0.6946189	1.0012240	0.0000000	0.2147489	1.0300187	1.0505347
0.0000000	0.2598421	0.3789992	0.6389776	0.2702340	0.3985612	1.0013123	0.0000000	0.9415646	1.0078644
0.0000000	0.2276644	0.4212174	0.5310592	0.3580164	0.4046592	1.0283239	0.4697866	0.0000000	1.0987361
0.0000000	0.2809675	0.4376183	0.5815594	0.3590184	0.3685452	0.9761804	0.6813016	0.7258913	0.0000000
0.8077353	0.7175372	1.0125201	0.0000000	0.0000000	0.3674683	1.0421688	0.5022278	0.5755319	1.0463044
0.8358725	0.6594726	1.0818384	0.0000000	0.6326050	0.9087319	0.0000000	0.0058098	0.5698610	0.9383757
0.8606648	0.6849814	0.9959551	0.0000000	0.2625073	0.3979542	1.0388544	0.1632226	0.0000000	0.9740435
0.1356112	0.1869559	0.3113330	0.9912831	0.0000000	1.0903104	0.0000000	1.0378831	0.5014562	1.0612904
