YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.0000000	0.1781506	0.4926643	0.7812448	0.1651012	0.2916951	0.3736419	0.0423814	0.7009276	0.1702901
0.0552611	0.0000000	0.2784533	0.8148899	0.0956807	0.4694193	0.5585686	0.1664327	0.7021567	0.2062914
0.6766863	0.7733737	0.0000000	0.7912806	0.0704014	0.5003085	0.6889149	0.4570985	0.7397603	0.0760438
0.6943531	0.3273038	0.3706057	0.0000000	0.0711508	0.5807039	0.7194429	0.4207903	0.2435419	0.5496485
0.7999380	0.3260712	0.4114578	0.6806148	0.0000000	0.4676333	0.6526316	0.3905678	0.5918366	0.1609404
0.7650064	0.1703434	0.8659234	0.4057152	0.8685451	0.0000000	0.6073448	0.3207261	0.6277951	0.2463547
0.7184800	0.2442095	0.7377885	0.4837568	0.7408789	0.0144872	0.0000000	0.3308097	0.6600965	0.1536869
0.8204070	0.1692628	0.7051903	0.4795214	0.5346442	0.0126386	0.0245525	0.0000000	0.6464471	0.2203037
0.7663157	0.3394803	0.3237283	0.8059444	0.0733902	0.5531344	0.7323820	0.8070339	0.0000000	0.2768830
0.7787213	0.3360496	0.4243674	0.6804947	0.1149068	0.4395531	0.6285131	0.7247140	0.5606569	0.0000000
