YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.3982366	0.2566819	0.7068026	0.4037081	0.0661347	0.2414091	0.6133246	0.6820694	0.0589231	0.0568438
0.4806715	0.3387237	0.5822628	0.4206740	0.1348597	0.2216874	0.5884241	0.7058206	0.0413077	0.0631103
0.4586643	0.2552300	0.8145526	0.5253525	0.2659143	0.3039077	0.3991534	0.8465150	0.1945607	0.0109885
0.5277379	0.3428620	0.6753275	0.4951068	0.1902222	0.3663275	0.6574798	0.9159735	0.1333478	0.0078850
0.4860090	0.3972458	0.7765994	0.3644130	0.0457627	0.2830193	0.5294013	0.6651074	0.3075076	0.0601865
0.3000839	0.3437755	0.6320983	0.2881639	0.0698100	0.3261291	0.5649830	0.7658275	0.0005348	0.0275235
0.4476484	0.2981036	0.7386596	0.2269332	0.0817240	0.4217516	0.3416237	0.5506321	0.1538552	0.0745901
0.4534418	0.3287286	0.5666942	0.0742568	0.4301468	0.2192616	0.4193394	0.7561254	0.0003292	0.0835015
0.6109972	0.2280435	0.6751157	0.4296865	0.3172427	0.2298262	0.5535103	0.6689732	0.0000834	0.0555430
0.6178157	0.3059687	0.4459001	0.3261723	0.0438766	0.2919150	0.6863885	0.5822493	0.1156354	0.0443054
