"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C

0	0.6382738	0.4504283	0.7052372	0.5222385	0.0780061	0.3816322	0.6065901	0.1107617	0.1570195	0.2548260
50	0.1210520	0.3770631	0.6112728	0.3608609	0.0826848	0.2383207	0.5847766	0.1047203	0.2370707	0.3123262
100	0.0337291	0.4084956	0.8239097	0.2966354	0.0397370	0.3653677	0.4745377	0.1526100	0.3356744	0.3174008
150	0.0165669	0.3117981	0.6840674	0.3090138	0.0783452	0.3316649	0.5869290	0.1726914	0.2350968	0.2856475
200	0.0114291	0.3602665	0.6083520	0.3095860	0.0806469	0.4251400	0.5295063	0.1275018	0.2866434	0.2939079
250	0.0236289	0.3357369	0.5989635	0.2672046	0.1120422	0.4108080	0.5902528	0.2078747	0.2140057	0.2975443
300	0.0360069	0.3806108	0.7156604	0.2955352	0.1228032	0.3937512	0.4510887	0.2416607	0.2586484	0.2434604
350	0.0082547	0.3875121	0.7538171	0.2941371	0.1355024	0.4004259	0.4332484	0.1902297	0.2491896	0.2016633
400	0.0075310	0.4847951	0.7140759	0.2568723	0.1330933	0.4581667	0.4022320	0.1821112	0.3060456	0.2366417
450	0.0099140	0.3890501	0.7032238	0.1856959	0.1457403	0.3927205	0.4714622	0.1575970	0.2587296	0.3225963
500	0.0201179	0.4974697	0.6791617	0.2143077	0.1139349	0.5346853	0.4427278	0.1422390	0.2292381	0.2242404
550	0.5791322	0.4285100	0.7846554	0.6009334	0.0641941	0.4846843	0.4360334	0.1526445	0.2507750	0.2136688
600	0.6338861	0.7167836	0.6839801	0.6797473	0.1165121	0.3420610	0.5521938	0.1706776	0.1799124	0.2493524
650	0.7089366	0.4564956	0.5959860	0.6116971	0.1206759	0.3212135	0.4967775	0.1043428	0.1328736	0.2719712
700	0.6821409	0.4697277	0.6025683	0.7207960	0.1108861	0.3442534	0.5396468	0.0898880	0.1717248	0.1513993
750	0.6667769	0.5156814	0.6423704	0.5834617	0.0757548	0.3764629	0.5487514	0.0966467	0.2384847	0.3450720
800	0.7456667	0.3722118	0.7107932	0.6193002	0.0477236	0.3907775	0.4668436	0.0868506	0.1876728	0.3518586
850	0.7873427	0.5371134	0.8268100	0.6771923	0.0357613	0.4368358	0.5016733	0.0726868	0.2205290	0.3559894
900	0.7085097	0.4925890	0.6240564	0.6536402	0.0562118	0.4062148	0.5044054	0.1020373	0.2193929	0.3266483
950	0.6519319	0.4253133	0.6993749	0.5956269	0.0638556	0.3097159	0.6001606	0.0881764	0.1939649	0.2995064
1000	0.6833042	0.4442055	0.7104299	0.6331502	0.0956909	0.2914119	0.4716117	0.0930584	0.1534309	0.3475485

0	0.7124544	0.5311558	0.6096902	0.6175815	0.0707172	0.3188662	0.5015992	0.0899369	0.1842912	0.3377768
50	0.7505988	0.4884435	0.8795031	0.6386160	0.0504933	0.1425396	0.4904535	0.0668424	0.1622220	0.3379023
100	0.6277308	0.5085150	0.7221862	0.7037452	0.0321092	0.0610717	0.5307620	0.1431862	0.1753895	0.2403129
150	0.6770778	0.4107716	0.6355443	0.6975753	0.0592953	0.0469598	0.4811094	0.1220133	0.2149923	0.2106156
200	0.6284002	0.4373177	0.6190131	0.5865312	0.1365523	0.0261590	0.3865442	0.1409931	0.1372364	0.1878605
250	0.6732843	0.4651102	0.7134863	0.5962279	0.1072314	0.0173526	0.4883845	0.1462695	0.1882959	0.2089032
300	0.7195935	0.5696104	0.6363609	0.5845999	0.1337045	0.0173110	0.4068273	0.1167768	0.1085503	0.1857178
350	0.7305485	0.6016234	0.7544650	0.5864339	0.1219957	0.0212336	0.4060684	0.1528800	0.2031405	0.2058507
400	0.7858333	0.4985975	0.6866924	0.5782662	0.0680979	0.0105484	0.4562787	0.0985682	0.2306220	0.1774507
450	0.6619842	0.5700887	0.6159118	0.5423098	0.0612619	0.0094849	0.4247561	0.0527938	0.1889644	0.1498625
500	0.6394170	0.5613053	0.5668257	0.5914748	0.0747147	0.0249070	0.4200336	0.1078535	0.1857382	0.1187034
550	0.7071679	0.6728868	0.6891634	0.6432664	0.1028833	0.2444602	0.5755678	0.0937492	0.1768661	0.1943943
600	0.6700027	0.5979291	0.7173424	0.6293327	0.0979548	0.2772587	0.6736634	0.0935993	0.1396136	0.2834846
650	0.6630273	0.4998928	0.7919733	0.6193131	0.0420625	0.3831875	0.6756256	0.0945644	0.1552656	0.3337674
700	0.7546709	0.5488812	0.6585676	0.7253669	0.0324577	0.3364960	0.6583027	0.0761017	0.2021134	0.4256855
750	0.7411931	0.4053688	0.6026263	0.6805763	0.0504922	0.3040697	0.5511119	0.0751139	0.1939328	0.3241558
800	0.6925554	0.4537283	0.6636123	0.7848121	0.0726158	0.2991159	0.6175629	0.0644384	0.1858066	0.4026993
850	0.5968257	0.3795157	0.6414052	0.6874419	0.0851464	0.2792402	0.6049193	0.1476369	0.1363089	0.3152351
