YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.7616282	0.1151428	1.0000000	0.5570213	0.9822209	0.9999998	0.0189709	0.5797397	0.1725284	0.0000008
0.7535283	0.1269302	1.0000000	0.4442379	0.8867330	0.9999989	0.0288748	0.6875572	0.2087238	0.0000008
0.5945509	0.2322536	0.8870970	0.2239662	0.4652651	0.9999287	0.0822358	0.8955781	0.1752012	0.0890594
0.7608714	0.1198024	1.0000000	0.3148418	0.4979289	0.9997542	0.1121548	0.8114900	0.8612166	0.6936622
0.6840931	0.1683867	1.0000000	0.5233066	0.6761592	1.0000000	0.0062465	0.5509269	0.1222762	0.0787384
0.5168089	0.3020225	0.7212392	0.1901496	0.4276126	0.7927826	0.0014992	0.7559722	0.2332950	0.1050079
0.8316082	0.0669031	1.0000000	0.3789043	0.6036694	0.9990854	0.1558805	0.6501381	0.1594402	0.0521144
0.7483385	0.1298465	1.0000000	0.4141863	0.7948356	0.8431300	0.1612619	0.5233664	0.0324769	0.0276697
0.4309166	0.1683867	1.0000000	0.2095772	0.5103055	0.9898794	0.0060143	0.5275595	0.0640220	0.0149840
0.6052921	0.2238119	0.8994892	0.3049874	0.6848307	0.8370539	0.0042351	0.9993136	0.3038116	0.1161210
