YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.0000034	0.8402577	0.1178020	0.0957332	0.1277807	0.2536427	0.9984725	0.9108184	0.2323922	0.9990410
0.1113386	0.0000014	0.1178020	0.0957332	0.1277807	0.2536427	0.9984725	0.9108184	0.2323922	0.9990410
0.9915902	0.9999324	0.0000019	0.0957332	0.1277807	0.2536427	0.9984726	0.9108400	0.2323500	0.9999984
0.9829119	0.8402578	0.1178020	0.0000029	0.1277807	0.2536427	0.9984725	0.9108184	0.2323922	0.9990410
0.9912698	0.9901847	0.0221121	0.0747556	0.0000058	0.2536426	0.9984727	0.9108417	0.2323495	0.9999971
0.9883425	0.9238106	0.0730099	0.0838484	0.0825632	0.0000000	0.9984726	0.9108359	0.2323583	0.9998159
0.6249525	0.3514112	0.4633340	0.3504389	0.5638019	1.0000000	0.0000000	0.9077912	0.2378526	0.8965407
0.6250238	0.3514226	0.4633479	0.3504254	0.5638014	1.0000000	0.0183139	0.0000000	0.2378516	0.8965554
0.9829182	0.8403485	0.1177507	0.0957190	0.1277298	0.2535043	0.9989659	0.9999878	0.0000014	0.9990422
0.9912749	0.9902011	0.0221115	0.0961298	0.1293873	0.2582287	0.9827245	0.5077892	0.9999952	0.0000015
