YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.1886582	0.6638794	0.0888117	0.2222181	0.2996300	0.6482682	0.3135155	0.5635582	0.7264439	0.7154631
0.0554105	0.8038363	0.0044229	0.0448332	0.2405216	0.7756729	0.1835529	0.2406366	0.6349573	0.7223255
0.2501597	0.6684766	0.0028270	0.0732034	0.2821791	0.6754108	0.0007455	0.0005827	0.6679646	0.7460367
0.3838409	0.5189701	0.0378375	0.2710231	0.2381119	0.6130600	0.0483723	0.0637686	0.4949193	0.4234240
0.3343539	0.7506838	0.0341969	0.3407362	0.2784063	0.8958933	0.4103042	0.6586845	0.6396662	0.6649513
0.0044822	0.8682159	0.1940103	0.0015005	0.1420661	0.7115145	0.1626412	0.1267373	0.7614238	0.7313439
0.0270215	0.7517406	0.4197720	0.1034743	0.0073503	0.6888204	0.2305951	0.3841983	0.5368317	0.7633521
0.0944190	0.6871319	0.2929378	0.1795908	0.1774541	0.6705881	0.4075680	0.3103716	0.5212955	0.3581165
0.6163890	0.7265844	0.0300125	0.3530958	0.3436835	0.6815571	0.0369342	0.1027189	0.6274357	0.5714335
0.0353167	0.6543834	0.0751355	0.2769884	0.1563456	0.7108692	0.1201762	0.0084629	0.6775032	0.6026485
