"Time"	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W

0	0.4169895	0.4066831	0.8241164	0.7663657	1.0638449	0.1535885	0.9511817	1.0370006	0.9430798	0.0633968
50	0.3463065	0.4111563	0.8682305	0.6934112	1.0312587	0.1200783	0.9413846	1.0048679	0.7893637	0.0946774
100	0.3403866	0.4294179	0.7909641	0.6497005	1.0361714	0.1258612	0.9069530	0.9456940	0.7290072	0.0743312
150	0.3704494	0.4723204	0.7390547	0.7095351	1.1112423	0.1179977	1.0386966	0.9423018	0.6879015	0.0891118
200	0.4207805	0.4111164	0.7270310	0.7190302	1.0355956	0.0897701	0.9945723	0.9498405	0.6815186	0.0733934
250	0.4528916	0.4581921	0.7855877	0.7029137	1.0289194	0.1163134	1.0291949	0.9045870	0.6964699	0.0983171
300	0.4042825	0.5467785	0.7935678	0.6899138	1.0063738	0.1063315	0.9464586	0.9675058	0.6377020	0.0659510
350	0.3706411	0.4852022	0.8402188	0.7179360	1.0020764	0.0873345	0.9361576	1.1058225	0.6628552	0.0834304
400	0.3487199	0.3926736	0.8885440	0.7099187	0.9552088	0.1360279	0.8545478	1.0819638	0.6516896	0.0726119
450	0.4672817	0.3254444	0.8371905	0.7293486	1.0752741	0.1264077	0.9605362	0.9577668	0.6258805	0.0575027
500	0.5115100	0.3218713	0.8077210	0.7165387	1.0160439	0.0979115	0.9817914	1.0688291	0.6284704	0.0667185
550	0.5330909	0.3249204	0.8602954	0.6969618	0.9911020	0.1612102	1.0235046	1.0058467	0.9478428	0.0718447
600	0.5291045	0.3547110	0.8456902	0.6808348	0.9718702	0.1423880	0.9507248	1.0022793	0.9320356	0.0667700
650	0.4716395	0.3569868	0.7376501	0.6066265	0.9442632	0.1720876	0.9486495	1.0856173	0.9825613	0.0732089
700	0.4768195	0.4450169	0.8653267	0.6348732	0.9821773	0.1837017	0.9050704	1.0152562	0.9802407	0.0808242
750	0.4766739	0.3179818	0.8538482	0.6669109	0.9444826	0.1525457	0.9234469	0.9680288	1.0340446	0.0769181
800	0.4946262	0.3011981	0.8294275	0.7282907	0.9771669	0.1446840	1.0084921	0.8903921	1.0120023	0.0887777
850	0.5693073	0.3268524	0.7370770	0.7702081	0.9453903	0.1185366	1.0036188	0.9138586	1.0191881	0.0702577
900	0.5703383	0.3768205	0.8662725	0.8031456	0.9992553	0.1690640	0.9892405	0.9193910	1.0340786	0.0845508
950	0.4828887	0.3752940	0.8198770	0.6699581	1.0216484	0.1323857	0.9851978	1.0251397	0.9511656	0.1002805
1000	0.4478891	0.3666868	0.8692233	0.6736709	0.9517511	0.1124162	0.9560639	0.9565506	0.9397983	0.0990134

