"Time"	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
400	0.0250632	1.0139528	0.3396819	0.4318622	0.8370605	0.4276556	1.0158343	0.2899989	0.0888937	0.8904414
450	0.0157382	1.0230945	0.3585400	0.5404559	0.7949624	0.3961167	1.0206264	0.2841807	0.0901443	0.9639702
500	0.0213017	1.0907564	0.3316700	0.4710052	0.7125375	0.3828098	0.9133675	0.2735433	0.0836827	0.9408317
550	0.0105868	0.9905728	0.2547430	0.4098551	0.7684700	0.4458478	1.0219171	0.2056775	0.1484013	0.9691393
600	0.0194405	0.8993584	0.2566181	0.3081121	0.8041514	0.3862910	1.0294160	0.2007900	0.3301529	0.9872377
650	0.0270989	0.9742476	0.2481285	0.3160719	0.7565233	0.4408744	0.9414042	0.1995582	0.3728543	1.0540587
700	0.0144240	1.0403139	0.3194596	0.3568508	0.6705456	0.3827671	1.0392591	0.2445464	0.3765238	1.0200759
750	0.0182039	1.0346011	0.3020397	0.3282874	0.6681443	0.3761332	1.0663465	0.3072087	0.4957358	0.9589263
800	0.0229394	1.0311041	0.2781704	0.3727410	0.6950970	0.3701958	1.0513183	0.2894003	0.4915908	0.9890353
850	0.0161153	0.9952201	0.2855530	0.4028478	0.6494643	0.3482695	1.0141097	0.2973059	0.5367407	1.0106776
900	0.0263915	1.0346188	0.2845865	0.3521660	0.6850028	0.4385775	0.8601354	0.3848814	0.5354725	0.9762499
950	0.0192831	1.0265875	0.3019158	0.3560458	0.7744179	0.4161752	0.9930022	0.3527641	0.5159353	0.9752929
1000	0.0200355	0.9906068	0.3547713	0.3260187	0.7718776	0.4026703	0.9999851	0.3121433	0.6361853	1.0389365

0	0.0245978	1.0039284	0.3197986	0.4197638	0.7453205	0.4071740	1.0500757	0.2979913	0.5893363	0.9724763
50	0.0272152	0.9471489	0.3207360	0.3069801	0.6776611	0.3516548	0.9821742	0.3694430	0.4061406	1.0772211
100	0.0200730	0.9595881	0.3222631	0.2362436	0.6834617	0.3888449	1.0253682	0.3119485	0.5018245	1.0314212
150	0.0310662	0.9324253	0.3226798	0.2587752	0.6590814	0.3429414	0.8874207	0.3202920	0.4737312	1.0404846
200	0.0233094	0.9763228	0.3320934	0.3688347	0.7257227	0.4163557	0.9645467	0.2744923	0.4903133	1.0208573
250	0.0201048	1.0873019	0.3428684	0.3098365	0.7369243	0.3571691	0.9384152	0.3073242	0.4706446	0.9710558
300	0.0248983	0.9759094	0.3900691	0.3236213	0.6942600	0.3846080	1.0600690	0.2914829	0.5157150	1.0506663
350	0.0212133	0.9281197	0.3478512	0.3508824	0.6806885	0.3828357	1.0185816	0.2744078	0.4873845	0.9784396
400	0.0208845	0.9279552	0.3585467	0.3115609	0.6886751	0.3362607	0.9715122	0.2775948	0.4909111	1.0804612
450	0.0239615	0.9752330	0.3022889	0.3217995	0.6640633	0.3479505	1.0363556	0.2378351	0.4329004	1.0105395
500	0.0353494	0.9779916	0.3936437	0.2979470	0.7131289	0.3119810	1.1340112	0.2558067	0.4217153	1.0207384
550	0.0375179	1.0341187	0.2985460	0.4094653	0.6900148	0.3476403	1.0708302	0.2503384	0.4503977	1.0188834
600	0.0123009	1.0405474	0.2801058	0.4428626	0.6309688	0.3445211	0.9685154	0.2819988	0.4467469	1.0369747
650	0.0167181	0.9579549	0.3221870	0.3082793	0.7207256	0.3499837	0.9037245	0.2861130	0.5094127	0.8831986
700	0.0275962	1.0397101	0.3455566	0.3091228	0.5954348	0.4104184	1.0613602	0.2942256	0.4605690	0.9430634
750	0.0141750	1.0995507	0.2782461	0.3885828	0.6200430	0.3834121	1.0365919	0.3082212	0.5249162	1.0764144
800	0.0120573	0.9573132	0.3119189	0.2957911	0.6099825	0.3503881	1.0246932	0.2507918	0.5302617	1.0206047
850	0.0274748	1.0181135	0.3423768	0.2370218	0.6206073	0.3075590	0.9132184	0.2655888	0.3942746	0.9781572
