YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.2341984	0.7170871	0.4668252	0.1412499	0.1699496	0.3802954	1.0148998	0.2296299	0.3036458	0.7724389
0.9007682	0.2650003	0.4244019	0.1298552	0.2485257	0.4282136	0.8958118	0.2720730	0.9955460	0.1652732
0.2380515	1.0826331	0.0948128	0.2409950	0.2718397	0.4091570	1.0356664	0.1460745	0.5256598	0.4990843
0.7407957	0.3991380	0.7477590	0.0671579	0.2229209	0.4899527	0.9136548	0.2886688	0.9232541	0.2767437
0.7805090	0.3264620	0.9255719	0.0428488	0.0984265	0.5093191	0.5155819	0.8143476	0.9584114	0.2795971
0.7143306	0.3156421	0.9278720	0.0246366	0.1633245	0.3304472	0.5044224	0.5576154	0.8446920	0.2530076
0.2305391	1.1005685	0.0346477	0.5798164	0.3626197	0.7460399	0.4889270	0.1218711	0.9177496	0.2845620
0.4096221	0.6583137	0.4013710	0.2546525	0.2682146	0.4828120	0.9492352	0.0729405	0.7530516	0.4942876
0.6218563	0.5503842	0.2626387	0.2040811	0.2264544	0.4735561	0.9943663	0.1756836	0.5006330	0.3188147
0.3701256	0.6753447	0.4514111	0.1081555	0.2268144	0.5217256	0.9008729	0.3017252	0.9535402	0.2801552
