YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.1661610	0.7829661	0.3109789	0.4971115	0.6903725	0.2210541	0.1904963	0.6344538	0.6083244	0.8066542
0.1372054	0.6563999	0.0593376	0.1584043	0.1089690	0.0379944	0.3785967	0.4976786	0.7803306	0.7592879
0.0536634	0.6702345	0.1237856	0.2336289	0.7353910	0.1463816	0.5060980	0.5032697	0.7148981	0.6976900
0.4507658	0.7735290	0.0916645	0.3831568	0.6081474	0.1468096	0.2899118	0.5226943	0.4038064	0.6795495
0.3905691	0.6870231	0.1810066	0.3746155	0.7183583	0.1850740	0.3081333	0.5322737	0.6403395	0.5759131
0.1991431	0.7684349	0.0665902	0.1824404	0.6718479	0.1496194	0.3644846	0.5231330	0.4779997	0.7653105
0.3963733	0.6576065	0.5014024	0.5830167	0.5420134	0.1033585	0.1566558	0.5189588	0.5614237	0.4672737
0.0821769	0.8148599	0.0862389	0.3269471	0.5496589	0.2379069	0.4111797	0.4423943	0.6665863	0.7191090
0.1707322	0.8330994	0.1238940	0.1197468	0.7265998	0.2102765	0.3082027	0.6226576	0.5339910	0.6444365
0.1902616	0.6116697	0.0400797	0.1834881	0.5776998	0.0706435	0.4784868	0.6963786	0.7074088	0.7035896
