"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W

0	0.6420453	0.7932606	0.9248328	0.1180668	0.9779415	0.0316079	0.9998419	0.0048358	0.0162868	1.0000000
50	0.6419661	0.7935324	0.9371658	0.0701151	0.9463989	0.0316421	0.6350243	0.0048357	0.0162902	1.0000000
100	0.6421544	0.7967859	0.9664729	0.0559456	0.9114995	0.0322430	0.3764717	0.0048356	0.0162846	1.0000000
150	0.6432931	0.8031764	0.9807925	0.0713039	0.8918032	0.0349361	0.2907199	0.0048356	0.0162469	1.0000000
200	0.6454881	0.8088186	0.9799860	0.0858245	0.8808741	0.0387319	0.2672148	0.0048355	0.0161731	1.0000000
250	0.6478759	0.8114928	0.9724239	0.0934657	0.8734946	0.0411417	0.2613059	0.0048355	0.0160910	1.0000000
300	0.6495621	0.8114474	0.9649167	0.0968889	0.8683333	0.0421117	0.2598904	0.0048354	0.0160304	1.0000000
350	0.6502384	0.8099976	0.9597873	0.0983659	0.8651357	0.0424166	0.2595613	0.0048354	0.0160027	1.0000000
400	0.6501154	0.8082813	0.9568522	0.0989240	0.8634093	0.0425001	0.2594862	0.0048353	0.0160025	1.0000000
450	0.6495845	0.8068712	0.9553986	0.0990126	0.8625742	0.0425212	0.2594693	0.0048353	0.0160177	1.0000000
500	0.6489690	0.8059151	0.9548349	0.0988782	0.8622018	0.0425263	0.2594656	0.0048353	0.0160375	1.0000000
550	0.6484375	0.8046473	0.9116125	0.2020207	0.8937421	0.0372545	0.6242824	0.0048353	0.0160557	1.0000000
600	0.6473160	0.7913470	0.8006183	0.1849395	0.9325799	0.0327892	0.8828348	0.0048353	0.0160931	1.0000000
650	0.6423503	0.7644801	0.7955195	0.1471131	0.9568304	0.0318078	0.9685866	0.0048354	0.0162617	1.0000000
700	0.6332565	0.7498487	0.8445835	0.1272038	0.9689575	0.0316404	0.9920916	0.0048355	0.0165933	1.0000000
750	0.6257279	0.7537175	0.8868591	0.1178394	0.9743344	0.0316133	0.9980005	0.0048357	0.0168908	1.0000000
