"Time"	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W

0	0.5154486	0.0266467	0.2627964	0.4534948	0.9637543	0.2900246	1.0249771	0.9181995	0.9727290	0.0301068
50	0.5084786	0.0635572	0.2731500	0.3640535	0.8597147	0.3705528	0.9491084	0.9386596	0.9670249	0.0543797
100	0.5154655	0.0527895	0.2450823	0.3276437	0.7628167	0.3716730	0.8905734	1.0521417	1.0041576	0.0511008
150	0.5106845	0.0459990	0.2612694	0.4148251	0.6547689	0.4075823	1.0177279	1.0065366	0.9757640	0.0408587
200	0.5033893	0.0386218	0.2195156	0.3748160	0.6346120	0.5408041	0.9526437	0.8933970	1.0037729	0.0428082
250	0.4539634	0.0450249	0.2256110	0.3229810	0.5651196	0.5511161	0.8498872	0.9330729	1.0042407	0.0441707
300	0.4605266	0.0403612	0.2231614	0.5197160	0.4140439	0.6737695	0.8817206	0.8987092	1.0009642	0.0486013
350	0.4072212	0.0349710	0.1895757	0.4917668	0.3707699	0.7261904	0.9558076	0.8378480	1.0280787	0.0618651
400	0.4007715	0.0473582	0.2111895	0.5879104	0.2534115	0.7217574	0.9460108	0.9261606	1.0399453	0.0470637
450	0.4996070	0.0412279	0.2088325	0.5708649	0.3229393	0.8247564	0.9975622	0.9364460	1.0157801	0.0591318
500	0.5091158	0.0386671	0.2181949	0.5643792	0.2737885	0.8102569	1.0123623	0.8822559	0.9663687	0.0463342
550	0.4911186	0.0359821	0.2125946	0.7651114	0.3466178	0.7637975	0.9931405	1.0400735	1.0408613	0.0766049
600	0.4980114	0.0276755	0.1875989	0.6825047	0.3906200	0.9158637	1.0345035	1.0281607	1.0471703	0.0595146
650	0.5146541	0.0328574	0.2083301	0.8425639	0.3544425	0.8313230	1.0374174	1.0454382	0.9864782	0.0452064
700	0.5334173	0.0311405	0.2508771	0.7568704	0.3535271	0.8423952	1.0578832	0.9254901	0.9776573	0.0412974
750	0.5780237	0.0374060	0.2183293	0.6832678	0.4678232	0.8528643	1.0145790	0.9072107	0.9883568	0.0634660
800	0.5748816	0.0357391	0.2266204	0.6820175	0.4208513	0.7079671	0.9188677	1.0144900	0.9572188	0.0600530
850	0.5725879	0.0265739	0.2170776	0.6088080	0.4149480	0.7729923	0.9237889	0.9066421	0.8944984	0.0601864
900	0.5519444	0.0434815	0.1949361	0.6059083	0.4685410	0.7582413	0.8291455	0.7949994	0.9569110	0.0541680
950	0.4910993	0.0355087	0.1789499	0.6643842	0.4802222	0.8518729	0.8708084	0.9684962	1.1331098	0.0389822
1000	0.5213129	0.0305985	0.2004375	0.6352353	0.4072984	0.7872417	0.9509472	1.0149087	0.9442477	0.0574649

0	0.5154486	0.0266467	0.2627964	0.4534948	0.9637543	0.2900246	1.0249771	0.9181995	0.9727290	0.0301068
50	0.5280435	0.1600189	0.1869211	0.3642119	0.9630362	0.3217543	0.9529073	0.9387131	0.8371840	0.0271051
100	0.5493007	0.3618587	0.1921535	0.2636190	0.9043107	0.3452378	0.9664601	0.9278523	0.6042345	0.0156640
150	0.5731940	0.5077067	0.2833211	0.1880005	0.8073753	0.4013935	0.8461508	0.6997092	0.4401166	0.0037958
200	0.6249900	0.6126165	0.2844243	0.1574235	0.9058820	0.4688038	0.8991387	0.6571943	0.3434214	0.0007639
250	0.5283878	0.6143213	0.3406499	0.2126072	0.9610135	0.4277703	0.8424918	0.4936770	0.3120784	0.0006267
300	0.5077380	0.6656375	0.4270112	0.2489969	0.9539252	0.3792396	0.6594013	0.3764778	0.3413692	0.0009450
350	0.5388524	0.6654639	0.3675654	0.1880310	1.0634020	0.3839979	0.4248391	0.3358275	0.2686536	0.0008161
400	0.5525217	0.7033028	0.3376870	0.2226586	0.9835000	0.2732730	0.2639880	0.2964347	0.3098380	0.0003339
450	0.5459520	0.6429088	0.3188943	0.1718121	1.0550357	0.1806679	0.1876522	0.3464087	0.3452049	0.0015775
500	0.5705005	0.6644351	0.3799102	0.1718556	0.9402967	0.1634542	0.1787374	0.3638027	0.3692071	0.0008142
550	0.5953268	0.5813758	0.4044448	0.3175317	1.0623577	0.2165176	0.2148813	0.5192609	0.5168643	0.0102243
600	0.5761500	0.3897997	0.3091962	0.3791467	1.0941308	0.1822495	0.3675967	0.7914705	0.6879722	0.0250333
