YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.5136575	0.6733900	0.4380921	1.0268996	0.1669808	0.6918011	1.0118268	0.7135324	0.5665635	0.9451281
0.3433742	0.5652721	0.5150790	0.5008415	0.2377902	0.3277925	0.7791834	0.7436478	0.4869878	0.6986523
0.3356200	0.6308437	0.4257784	0.8912248	0.2128133	0.5621775	0.9686095	0.6660931	0.4405394	0.7837407
0.4801823	0.6090843	0.5747646	0.6443636	0.6490966	0.8296046	1.0539202	0.7326319	0.5492833	0.9790423
0.5408881	0.7363293	0.4051178	0.7564613	0.5998646	0.5617491	1.0800483	0.8887274	0.7062848	0.9966046
0.5571938	0.9508842	0.3495976	1.0690447	0.1725014	0.5476984	0.8919817	0.8686441	0.5362034	1.1431920
0.3980690	0.6882158	0.4937095	1.0696561	0.1830508	0.3249791	0.9328918	0.8383167	0.4393706	0.6511402
0.5784059	0.8791714	0.4825710	0.6654639	0.2086087	0.5112580	0.8652367	0.5386531	0.5171601	1.0217484
0.3913533	0.5682004	0.7106478	0.5256938	0.1808862	0.4387748	0.9087114	0.6047351	0.6074468	1.0370304
0.4606668	0.7282461	0.6376076	0.5401172	0.4794231	0.4957392	0.9288354	0.7416698	0.4495688	0.8733765
