"Time"	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W

0	0.4418470	0.5556137	0.4592538	0.5629006	0.5655531	0.7747437	0.8741843	0.0399846	0.2020353	0.7680584
50	0.4461207	0.7397230	0.4677971	0.7170949	0.3184918	0.6419047	0.4973759	0.0498781	0.2273427	0.8350649
100	0.5327086	0.8057754	0.2659433	0.6437502	0.1963080	0.6073606	0.1633388	0.0117542	0.1417841	0.8286062
150	0.4743180	0.6926865	0.2457709	0.5263497	0.0797211	0.4693955	0.0719269	0.0422660	0.1309582	0.7770349
200	0.4465726	0.6140985	0.1768501	0.4158296	0.0466632	0.3888625	0.0353948	0.0295604	0.0845483	0.7988588
250	0.4698556	0.6298628	0.2903128	0.1763742	0.0209033	0.2230849	0.0226539	0.0415177	0.1066252	0.7700731
300	0.5355644	0.6330119	0.2464442	0.0622503	0.0090158	0.2379792	0.0220242	0.0236590	0.1312085	0.6543579
350	0.5164631	0.7549321	0.2750145	0.0432694	0.0219664	0.2180086	0.0161949	0.0546574	0.1040543	0.6884014
400	0.4432921	0.7339230	0.2730244	0.0164275	0.0020714	0.1560438	0.0254608	0.0410771	0.0899867	0.7183918
450	0.5286494	0.7012148	0.2985849	0.0286225	0.0186980	0.1389386	0.0974692	0.0554207	0.1352634	0.5984282
500	0.5313063	0.8269426	0.3634171	0.0139691	0.0096056	0.1182885	0.0305459	0.0642057	0.1396097	0.8276942
550	0.4560642	0.7425296	0.3816924	0.0154964	0.0163764	0.1559673	0.3736250	0.0728051	0.1476329	0.7848474
600	0.5670909	0.7532166	0.6019820	0.0167668	0.1081449	0.2341024	0.8709228	0.0535126	0.2629595	0.6342654
650	0.4755292	0.8617482	0.7212403	0.0890530	0.2681818	0.4127463	0.6529267	0.0882486	0.1447905	0.7521000
700	0.3775396	0.7902565	0.5848789	0.3070208	0.2793157	0.6498075	0.6567323	0.0457238	0.2063424	0.8008069
750	0.4051709	0.8460646	0.6976205	0.4125636	0.3247961	0.6544740	0.8266356	0.0391849	0.0998122	0.8287639
800	0.4814863	0.7246268	0.5344390	0.3423006	0.3502709	0.6105996	0.7737469	0.0805260	0.1182214	0.7758439
850	0.4216165	0.7494620	0.5107951	0.4701243	0.5134152	0.5942699	0.7962124	0.0311632	0.1157774	0.8048541
900	0.4183963	0.6403941	0.6789437	0.5761647	0.4554987	0.7189600	0.8376168	0.0237233	0.1573648	0.6576856
950	0.4349106	0.8066062	0.6941248	0.6232351	0.4849816	0.5836711	0.8076104	0.0525078	0.1201420	0.6381294
1000	0.3999555	0.7516109	0.5911930	0.5564086	0.4279992	0.7113386	0.8128930	0.0365498	0.1530891	0.7683145

0	0.4111088	0.7448753	0.4667699	0.5398957	0.5190941	0.5909663	0.8511220	0.0612432	0.1552627	0.9536908
50	0.4315797	0.7092338	0.4440465	0.4656926	0.4199704	0.4937540	0.5331667	0.0928256	0.1365098	0.6779625
100	0.4936921	0.6416154	0.3235140	0.5924903	0.2197973	0.5911121	0.3543917	0.0729223	0.0599549	0.6780066
150	0.5079729	0.7890287	0.3147918	0.5109966	0.1868034	0.6118782	0.3795740	0.0873453	0.0799493	0.6379253
200	0.4108217	0.7675381	0.2895046	0.4080028	0.0838412	0.6110499	0.2707922	0.0198534	0.1322530	0.7004141
250	0.4828527	0.7041073	0.3453782	0.2970472	0.0658616	0.5764847	0.3644398	0.0779114	0.1265771	0.5901876
300	0.4169656	0.7016410	0.4446917	0.1461524	0.0753094	0.5838061	0.3846511	0.0662600	0.1355911	0.7825661
350	0.4565139	0.6328190	0.5878564	0.1072413	0.0561900	0.5808687	0.3390883	0.0283654	0.1346087	0.7543017
400	0.3915699	0.7233221	0.5317734	0.0732984	0.0771170	0.5209561	0.3388230	0.0117683	0.1281774	0.7883509
450	0.3777127	0.7077166	0.5665238	0.0620540	0.1013863	0.5327393	0.3880262	0.0173435	0.1455120	0.8149541
500	0.4576450	0.7697928	0.5404646	0.1301897	0.0764923	0.5882351	0.3530888	0.0505432	0.0902428	0.6540551
550	0.4773654	0.7057678	0.4625880	0.1005852	0.1129920	0.6136146	0.4736158	0.0370395	0.2234594	0.7521020
600	0.3557620	0.6589233	0.8558348	0.0865189	0.2572135	0.3386039	0.6373223	0.0524834	0.1205469	0.7565837
650	0.3855097	0.6491164	0.7983107	0.2431895	0.2246956	0.6017674	0.5957855	0.0445327	0.1363583	0.9832623
700	0.3814816	0.9033001	0.6564206	0.3015085	0.2719570	0.5725292	0.7489944	0.0455360	0.1338077	1.0297354
750	0.4035778	0.8094668	0.6270279	0.6853489	0.3807680	0.6756586	0.8426673	0.0160423	0.1134633	0.7680212
800	0.3441404	0.6831573	0.5571903	0.5143924	0.4790271	0.6374299	0.7943147	0.0366097	0.1426798	0.8279431
850	0.3671022	0.6385764	0.5625935	0.5432238	0.3603987	0.5829277	0.7129139	0.0548997	0.1670805	0.8046124
