"Time"	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C

0	0.9097877	0.5855209	0.3579043	0.7320866	0.4837009	0.8970632	0.2847836	0.4765403	0.9751602	1.0282494
50	0.9164606	0.6393643	0.3556975	0.4208909	0.4050303	0.3479789	0.2400472	0.4918310	0.8915527	1.0011878
100	0.9539835	0.6713546	0.2904348	0.3900024	0.3202913	0.2400203	0.2831742	0.5088053	0.8201334	0.9452103
150	0.9499766	0.6388277	0.2717036	0.4397377	0.2153902	0.2326496	0.2457757	0.4985241	0.9344723	1.0180412
200	0.9702909	0.7846512	0.2734214	0.4652000	0.1462788	0.1837553	0.3420079	0.4195419	0.9895020	1.0047164
250	0.9720343	0.6982045	0.2650822	0.5091420	0.1460838	0.1959337	0.2925835	0.4459817	0.9259652	0.9966078
300	1.0117656	0.5970072	0.2672671	0.4731062	0.1323444	0.1619500	0.2548198	0.4543956	0.8842614	0.9857731
350	0.9380862	0.6805816	0.2904059	0.4590268	0.1142708	0.1698230	0.2799403	0.4655803	0.8851117	1.0302701
400	0.9840572	0.6535650	0.2544349	0.4586804	0.1183122	0.1584033	0.3398060	0.4379756	0.8836400	0.9482798
450	1.0144271	0.6529093	0.2153251	0.5001760	0.0969583	0.1857437	0.3167320	0.4434654	0.9482442	0.8749797
500	0.9599109	0.6356852	0.2366919	0.5158002	0.1236805	0.1840160	0.3068082	0.5141391	0.8974104	1.0429285
550	0.9462639	0.6382570	0.2714386	0.8579103	0.2118333	0.6739785	0.2925159	0.5244146	0.9976685	0.9819341
600	0.8600766	0.5273255	0.2950423	0.8135957	0.3578742	0.7843594	0.2185893	0.5299281	0.9622519	0.9710412
650	0.8746454	0.5147646	0.4003292	0.8872981	0.4727247	0.8123097	0.2623753	0.5459055	0.8882806	0.9279734
700	0.9432372	0.6364136	0.3406938	0.8464083	0.4484967	0.8904163	0.2739168	0.4984287	0.8980220	0.9825089
750	0.8936376	0.5975694	0.3385800	0.8160757	0.4598960	0.9124774	0.2998244	0.5152582	0.9409891	1.0171456
800	0.8651138	0.5610531	0.3660420	0.7468652	0.5084224	0.8635877	0.3234366	0.5494830	0.9487060	0.9909440
850	0.8639064	0.5612893	0.3954268	0.7309421	0.4661765	0.8599125	0.2519236	0.4970965	0.9209200	1.0430917
900	0.8537027	0.5292121	0.3841657	0.6635604	0.4852668	0.9254086	0.2316960	0.4671027	0.9167330	0.9512444
950	0.8084213	0.6462674	0.3867661	0.7314948	0.4904924	0.8919014	0.2282347	0.4555876	0.8955661	1.0062315
1000	0.7489784	0.6305547	0.3853922	0.7054723	0.5142344	0.9984819	0.2353305	0.4404252	0.9891076	0.9881857

0	0.9097877	0.5855209	0.3579043	0.7320866	0.4837009	0.8970632	0.2847836	0.4765403	0.9751602	1.0282494
50	0.9547828	0.6269198	0.3844575	0.5221090	0.4981710	0.8059764	0.6658299	0.5532664	0.9132834	1.0560394
100	0.8724806	0.5454926	0.3118365	0.4688003	0.5054477	0.7311352	0.7361974	0.6258506	0.9097057	0.9500084
150	0.9854782	0.4201090	0.2545888	0.4778802	0.4545807	0.6198655	0.7107930	0.6303260	0.9503660	1.0482919
200	0.9087836	0.4107067	0.2666968	0.5492842	0.3781582	0.5124157	0.7658003	0.5623162	1.0024847	1.0525865
250	0.8423317	0.4432209	0.2765842	0.5476452	0.3307347	0.5608599	0.8077469	0.6039817	0.9999299	1.0357522
300	0.7505825	0.4418219	0.2937792	0.5578154	0.3660831	0.5141243	0.7723815	0.6852271	0.9537843	0.9972718
350	0.8195745	0.3654316	0.3130239	0.5442488	0.3218198	0.6114486	0.8054628	0.6737581	0.8973790	0.9856423
400	0.6914872	0.3478750	0.2812249	0.5194572	0.3594565	0.5384606	0.7502795	0.6926806	0.8923092	1.0807084
450	0.6779510	0.4684346	0.2486116	0.5011015	0.3834110	0.6355115	0.7597431	0.6285630	0.9292563	1.0407694
500	0.7297660	0.4622586	0.2921369	0.4908745	0.4191273	0.6161078	0.8675136	0.7149961	0.9921425	1.0660273
550	0.7373599	0.3837523	0.3185624	0.7000084	0.3413100	0.6074987	0.3671019	0.7002099	0.9158971	1.0052009
600	0.6758208	0.4516328	0.3728769	0.7392118	0.3833993	0.7094216	0.2114455	0.5919769	0.8094514	1.0295107
650	0.7869954	0.5655212	0.3524970	0.7789944	0.4179327	0.7878374	0.2089267	0.4560526	0.8727137	1.0652419
700	0.8023518	0.5974527	0.3930271	0.8307570	0.5196564	0.8975438	0.2826317	0.4411928	0.9391838	1.0362072
750	0.9782619	0.5652517	0.4739614	0.6786741	0.5130487	0.9155771	0.2323693	0.5077787	0.9721771	1.0352494
800	0.9819560	0.5491078	0.4158003	0.7345733	0.5457369	1.0066546	0.2117433	0.5201545	0.9689568	0.9562994
850	0.7969986	0.5662856	0.3616987	0.6737268	0.5252292	0.9678460	0.2532616	0.4954237	1.0148123	1.0373128
900	0.8490239	0.6794637	0.4220486	0.6709997	0.5120210	0.8286628	0.2827742	0.4653808	0.9703169	1.0346217
950	0.8745599	0.6903418	0.3941393	0.6606245	0.4442330	0.8971938	0.2850365	0.4727050	0.9307612	0.9685610
1000	0.9576468	0.6429190	0.3284093	0.6676609	0.4342454	0.9279016	0.2834016	0.4952927	0.8864429	0.9469216

