YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.3511791	0.5446521	0.7029925	0.5618312	0.8428368	0.2978032	0.0631100	0.1213815	1.0000000	0.9849390
0.7022558	0.2723283	0.7030021	0.5618074	0.8428164	0.2977918	0.0631100	0.1213815	1.0000000	0.9849324
0.8791437	0.3926611	0.3938273	0.4554906	0.7342774	0.1898385	0.0631100	0.1213815	1.0000000	0.9122758
0.9876315	0.6153629	0.9084981	0.2932822	0.8708861	0.3472112	0.0631100	0.1213815	1.0000000	0.9919017
0.9996258	0.6348936	0.9774784	0.1534595	0.4384786	0.3602675	0.0631100	0.1213815	1.0000000	0.9930297
0.9276557	0.5885574	0.8235947	0.4103162	0.6917199	0.1644070	0.0631100	0.1213815	1.0000000	0.8524218
0.7022872	0.5446571	0.7030151	0.5617961	0.8427949	0.2977403	0.0315583	0.1213815	1.0000000	0.9849262
0.7022376	0.5446405	0.7029952	0.5618183	0.8428238	0.2977940	0.0628741	0.0606915	1.0000000	0.9849349
0.7022577	0.5446338	0.7030029	0.5618195	0.8428467	0.2978528	0.0730099	0.3056309	0.5000021	0.9849411
0.7022368	0.5446404	0.7029949	0.5618189	0.8428245	0.2977951	0.0631100	0.1213815	1.0000000	0.4925683
