YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.4773952	0.9618020	0.3179267	0.0658512	0.9946092	0.8026791	0.5756179	0.5863082	0.6509829	0.0862000
0.7933907	0.5048682	0.2679029	0.0602733	1.0648525	0.8836172	0.5476553	0.6095493	0.6750202	0.0670342
1.0627137	0.9236565	0.2145974	0.0829162	1.0273358	0.8287851	0.6508148	0.6694869	0.7072321	0.0817344
0.8858294	0.9850804	0.1323810	0.0493748	1.0539007	0.9283329	0.6106526	0.5845614	0.7869485	0.0711973
0.8900615	0.9108204	0.3117156	0.0918398	0.5207472	0.6935302	0.5789977	0.6437385	0.6372515	0.1293256
1.0306087	1.0223146	0.4352105	0.0552107	0.8958067	0.3863890	0.5738458	0.6209232	0.5336148	0.0733215
0.9860469	0.9675098	0.4560561	0.0741525	1.0728322	1.0324311	0.3033593	0.7071679	0.5495910	0.0760367
1.0266582	0.9983759	0.2506590	0.0689724	0.9987439	1.0054421	0.4833555	0.2964468	0.7321935	0.0923086
0.8983204	1.0091614	0.2739991	0.0956280	1.0898486	0.6194705	0.7676831	0.8949597	0.3046789	0.0815489
0.8861595	1.0267028	0.2802161	0.0710828	0.9644429	0.9075319	0.5699804	0.6540500	0.6295304	0.0317108
