YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.0000000	0.6147013	0.1636065	0.1119092	0.2307591	0.3004232	0.2986178	0.4855543	0.7104375	0.6905126
0.7700198	0.0000000	0.3217888	0.2420866	0.1665443	0.1927391	0.4104885	0.2374157	0.6035462	0.7078889
0.3640308	0.7357130	0.0000000	0.3205042	0.1778255	0.3572528	0.2097450	0.4937475	0.5734501	0.6431097
0.3738487	0.6764960	0.1399701	0.0000000	0.0732879	0.2732993	0.2642491	0.4798099	0.7368051	0.8388695
0.4055548	0.7827947	0.1276220	0.0541571	0.0000000	0.2802922	0.2876441	0.4855749	0.6196718	0.8281481
0.4404493	0.8587311	0.1603717	0.0732883	0.0151436	0.0000000	0.2156098	0.3471810	0.7036034	0.8287006
0.5483641	0.5080206	0.2817812	0.1318652	0.1605149	0.2712728	0.0000000	0.3479950	0.5958554	0.8465798
0.6083213	0.7069346	0.1887710	0.1274497	0.1169868	0.2332688	0.7843635	0.0000000	0.6498427	0.7634961
0.7500992	0.0414064	0.7481819	0.6863980	0.5096183	0.6456546	0.2442790	0.4689037	0.0000000	0.8018985
0.7523104	0.0459738	0.8166047	0.5827213	0.4274148	0.4969789	0.2941880	0.4092301	0.0559918	0.0000000
