"Time"	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W

0	0.9325549	0.9963301	0.3504100	0.0644591	0.9967793	0.8431042	0.6040113	0.6379193	0.6080892	0.0692934
50	0.9368824	0.9963320	0.5185041	0.0644590	0.9977903	0.5312635	0.6041768	0.6382205	0.6006319	0.0692918
100	0.9406995	0.9963389	0.7100544	0.0644588	0.9983939	0.2335613	0.6077823	0.6442534	0.5721709	0.0692858
150	0.9423815	0.9963425	0.8186933	0.0644586	0.9952075	0.0924904	0.6170353	0.6602692	0.5449958	0.0692842
200	0.9430173	0.9963230	0.8697991	0.0644593	0.9905787	0.0359087	0.6288321	0.6800274	0.5281239	0.0693030
250	0.9432430	0.9962843	0.8918166	0.0644606	0.9877407	0.0146640	0.6396927	0.6967308	0.5193009	0.0693352
300	0.9433190	0.9962450	0.9008328	0.0644620	0.9864033	0.0069030	0.6479807	0.7081159	0.5150581	0.0693641
350	0.9433424	0.9962157	0.9044063	0.0644630	0.9858404	0.0040848	0.6535617	0.7148950	0.5131141	0.0693833
400	0.9433482	0.9961973	0.9057913	0.0644638	0.9856177	0.0030512	0.6569940	0.7185805	0.5122517	0.0693940
450	0.9433488	0.9961872	0.9063196	0.0644642	0.9855329	0.0026630	0.6589641	0.7204588	0.5118783	0.0693993
500	0.9433482	0.9961819	0.9065187	0.0644644	0.9855015	0.0025119	0.6600351	0.7213710	0.5117198	0.0694017
550	0.9390152	0.9956507	0.7385106	0.0644802	0.7185243	0.2684321	0.6605619	0.7217449	0.5129141	0.0699428
600	0.9350870	0.9918981	0.5471265	0.0645820	0.7009648	0.5218726	0.6601051	0.7205645	0.5219685	0.0734618
650	0.9330798	0.9899020	0.4389201	0.0646434	0.8276347	0.6432245	0.6570949	0.7147215	0.5403424	0.0745907
700	0.9321989	0.9911339	0.3882341	0.0646188	0.9163869	0.6969788	0.6505603	0.7027468	0.5620821	0.0729746
750	0.9319767	0.9930593	0.3663469	0.0645680	0.9610892	0.7271113	0.6413219	0.6869350	0.5805189	0.0712929
800	0.9320555	0.9945203	0.3571992	0.0645246	0.9810206	0.7514968	0.6313749	0.6712986	0.5930386	0.0702598
850	0.9322107	0.9953999	0.3533815	0.0644958	0.9895165	0.7742283	0.6225336	0.6586936	0.6003820	0.0697350
900	0.9323456	0.9958716	0.3517552	0.0644788	0.9931753	0.7944367	0.6157061	0.6499297	0.6043010	0.0694914
950	0.9324373	0.9961086	0.3510385	0.0644694	0.9948494	0.8107797	0.6109648	0.6444628	0.6062727	0.0693831
1000	0.9324923	0.9962234	0.3507104	0.0644644	0.9956907	0.8228610	0.6079314	0.6413144	0.6072312	0.0693354

0	0.9325549	0.9963301	0.3504100	0.0644591	0.9967793	0.8431042	0.6040113	0.6379193	0.6080892	0.0692934
50	0.9325551	0.9963309	0.5138871	0.0644591	0.9968017	0.8423550	0.6151616	0.6568325	0.4158502	0.0429023
100	0.9325552	0.9963314	0.7001763	0.0644590	0.9967790	0.8195671	0.6617431	0.7530136	0.2197861	0.0187869
150	0.9325553	0.9963312	0.8058315	0.0644590	0.9964675	0.7472471	0.7134629	0.8651446	0.1158760	0.0081273
200	0.9325553	0.9963282	0.8555337	0.0644591	0.9952310	0.6441485	0.7518000	0.9380939	0.0686503	0.0042304
250	0.9325549	0.9963167	0.8769462	0.0644595	0.9919150	0.5486143	0.7753780	0.9741109	0.0484215	0.0029336
300	0.9325535	0.9962853	0.8857142	0.0644606	0.9851109	0.4795853	0.7882375	0.9895061	0.0399800	0.0025425
350	0.9325497	0.9962187	0.8891894	0.0644628	0.9744050	0.4366466	0.7946780	0.9955793	0.0365036	0.0024663
