YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.0003733	0.2492984	0.4787948	0.4195402	0.1316529	1.0466887	1.1401223	0.7669761	1.0487695	0.9199939
0.5638514	0.0000000	0.4079218	0.4813913	0.1886160	0.9768527	0.9356087	0.6950818	1.0405550	1.0382498
0.8029955	0.0855939	0.0000000	0.5702160	0.1117468	1.1120108	1.0285159	0.7138217	1.0397251	1.0616304
1.0088553	0.8185230	1.0130729	0.0000000	0.2299341	0.8821810	1.0939858	0.7777665	1.0843514	1.1148933
0.8786695	0.2688898	0.4088527	0.4605701	0.0000000	1.0135016	1.0598835	0.7354004	1.0888674	0.9538347
0.7277199	0.0801895	0.1720820	0.9118553	0.9252906	0.0000000	0.8919255	0.7047543	1.1507058	0.9703804
0.4841520	0.1062512	0.3616878	0.4372189	0.1539829	1.0832043	0.0000000	0.7581438	0.9892745	1.0684915
0.6091523	0.2410976	0.4557105	0.3981643	0.2501911	0.8496119	1.0339853	0.0000000	1.0080806	1.1774639
0.5924445	0.2137131	0.3435221	0.5480569	0.1830007	1.0182121	1.0112159	0.0148735	0.0000000	1.0524832
1.0056676	0.2468738	0.3832858	0.4842204	0.1972744	0.9782247	0.9131094	0.7120218	1.0308469	0.0000000
