YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.0367464	0.3914717	0.6898619	0.6593748	0.1020702	0.3459175	0.0280292	0.6728618	0.0422560	0.7195907
0.1016076	0.2821328	0.7209692	0.6315278	0.1279129	0.3037566	0.0123448	0.6945871	0.0944534	0.6721691
0.1160319	0.4567920	0.3757884	0.7205573	0.1740304	0.3940559	0.0264509	0.7092596	0.0873088	0.6227105
0.0689770	0.4025367	0.6371934	0.4459775	0.1471425	0.3024658	0.0374057	0.5777393	0.0424392	0.7093608
0.1110784	0.4879335	0.6493159	0.7108395	0.0915974	0.3703798	0.0198632	0.7038530	0.1148782	0.8022126
0.1020749	0.5359156	0.6477208	0.6820287	0.0624682	0.1495997	0.0417852	0.6938078	0.0256324	0.6008739
0.1246340	0.4950900	0.6479821	0.8967048	0.3076431	0.5671709	0.0148400	0.6145405	0.1814337	0.7699904
0.1249830	0.2110944	0.6053566	0.6847046	0.1124906	0.1971534	0.0699457	0.3268638	0.0476202	0.6952360
0.0793387	0.3775232	0.6845334	0.6805526	0.1688513	0.4200852	0.0196661	0.4991625	0.0373798	0.6716586
0.4042662	0.3744300	0.6901882	0.8294268	0.1345444	0.2323815	0.0392363	0.5931524	0.0984858	0.3866278
