"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W

0	0.1945039	0.4851350	0.6868905	1.0000000	0.6329850	0.9945935	0.0509739	0.1100128	0.0447179	1.0000000
50	0.2256684	0.3389654	0.6868905	1.0000000	0.6793509	0.7774179	0.0509913	0.1106545	0.0661850	0.2948165
100	0.3393865	0.2946143	0.6868905	0.9999999	0.6417425	0.6971630	0.0523629	0.1313042	0.2850640	0.1675613
150	0.4652657	0.2811572	0.6868905	0.9999998	0.6003208	0.6669287	0.0713633	0.2413058	0.6430519	0.1445972
200	0.5501768	0.2770740	0.6868903	0.9999977	0.5745790	0.6457432	0.1553585	0.4013354	0.8441182	0.1404532
250	0.5956153	0.2758353	0.6868836	0.9999092	0.5513178	0.5336523	0.2957180	0.5245917	0.9278569	0.1397054
300	0.6171727	0.2754653	0.6867262	0.9986008	0.4839577	0.3036349	0.4210296	0.5986583	0.9602197	0.1395704
350	0.6266766	0.2754316	0.6854896	0.9925986	0.3792050	0.1470488	0.5029096	0.6384737	0.9723802	0.1395461
400	0.6304479	0.2758561	0.6814200	0.9805906	0.3059372	0.0717644	0.5491053	0.6585706	0.9768675	0.1395417
450	0.6309132	0.2772267	0.6740887	0.9664971	0.2742167	0.0385378	0.5732811	0.6682874	0.9784564	0.1395409
500	0.6282641	0.2798545	0.6653268	0.9547259	0.2634069	0.0241687	0.5853760	0.6728264	0.9788929	0.1395408
550	0.5419220	0.4346127	0.6575892	0.9487728	0.0825562	0.0391292	0.5911558	0.6725161	0.7699156	0.8447242
600	0.3766792	0.4861711	0.6547178	0.9583715	0.0408125	0.0440813	0.5886806	0.6321081	0.3454755	0.9719794
650	0.2690406	0.5039476	0.6602187	0.9750893	0.0314091	0.0462762	0.5566672	0.5234016	0.1556538	0.9949435
700	0.2150450	0.5075188	0.6695456	0.9876391	0.0294439	0.0503310	0.4728363	0.3840523	0.0839452	0.9990875
