YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.0000000	1.1118541	0.9030644	1.0394541	0.0872594	0.1566034	0.7444864	0.5595636	1.0968854	0.9780712
0.8753436	0.0000000	1.0701702	0.9449606	0.0912551	0.1870514	0.9547962	0.3268045	0.9726059	0.9404374
0.2604234	0.0633332	0.0000000	0.9697106	0.0606872	0.1489183	0.9438506	0.4591533	1.0364156	1.0649964
0.3252372	0.0237617	0.0065414	0.0000000	0.1005131	0.1641171	0.7860973	0.4527540	0.9686911	1.0299253
0.8871069	1.0303226	1.0199257	1.0463886	0.0000000	0.1441228	0.9302866	0.3434766	1.0089830	0.9112687
0.9022518	1.1333633	1.0872739	1.0312297	0.0449034	0.0000000	0.9210091	0.3902800	1.0885610	1.0171764
0.9504895	0.9710621	0.9083289	0.4748949	0.7968502	1.0501850	0.0000000	0.5243313	0.5905232	1.0049153
0.8808607	0.9816378	1.0089383	0.9297520	0.0794078	0.1577538	1.0034422	0.0000000	1.0115954	1.1026635
0.9944376	0.9990335	0.9680249	0.9793666	0.1232615	0.2748660	0.6116658	0.7377012	0.0000000	0.9889298
0.8436362	0.9917796	0.9838721	1.0524175	0.0678649	0.1179964	0.9527797	0.3516940	0.9766708	0.0000000
