"Time"	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C

0	0.4951277	0.3156131	0.4055754	0.5439598	0.4752481	0.7741449	0.0210290	0.7070421	0.7873600	0.7338091
50	0.5792593	0.1984496	0.3706961	0.4559665	0.5685853	0.8823109	0.2646176	0.9140400	0.5605817	0.7262862
100	0.4954233	0.1473950	0.3934087	0.5350802	0.5087505	0.7258567	0.4948825	0.7976037	0.3883488	0.7774377
150	0.3984658	0.2244711	0.3202181	0.5028571	0.4538575	0.5708156	0.5528938	0.7192235	0.3809499	0.7380138
200	0.4280707	0.1732288	0.4319217	0.5182565	0.4091929	0.4485015	0.7146802	0.7494843	0.3709670	0.7004684
250	0.4825110	0.2155632	0.4022760	0.5069636	0.3597847	0.5191705	0.5583761	0.7127945	0.3523457	0.7539228
300	0.5312219	0.2376932	0.4200983	0.4427332	0.3102245	0.4431400	0.6913160	0.7114404	0.2802315	0.6444454
350	0.3958010	0.2388437	0.4411067	0.5178402	0.3413739	0.4499260	0.6404861	0.6653823	0.3998680	0.6460883
400	0.4640698	0.2031685	0.4033866	0.4899663	0.3670775	0.3067599	0.6690907	0.5639188	0.4178350	0.7082929
450	0.4522526	0.2429921	0.3892429	0.4049061	0.1934596	0.3778937	0.5992335	0.7244051	0.3763682	0.8332635
500	0.4769874	0.1916732	0.3797031	0.4757891	0.3270091	0.4993274	0.5002997	0.6721763	0.4800398	0.8150561
550	0.3880990	0.2363010	0.5330308	0.4818891	0.2797783	0.4145457	0.3163989	0.5833528	0.6306207	0.8748674
600	0.4580732	0.1633470	0.3863795	0.5360598	0.3201767	0.5804052	0.1508578	0.4732859	0.5556772	0.8245082
650	0.5160767	0.3044474	0.4551933	0.4837812	0.3666291	0.7557320	0.1296433	0.6101884	0.6631276	0.6963577
700	0.4585977	0.3457680	0.4022663	0.4157773	0.4636230	0.5805537	0.0275201	0.5901942	0.5908396	0.8409411
750	0.3969787	0.3184558	0.4383988	0.4151636	0.5102825	0.6941479	0.0456045	0.7950932	0.7172810	0.7567129
800	0.3971820	0.2177654	0.3449683	0.4807625	0.5112672	0.7667480	0.0286758	0.5137193	0.6826946	0.7039523
850	0.3311168	0.2788798	0.3064705	0.4299560	0.4133464	0.8186088	0.0522341	0.8598225	0.8602053	0.6439175
900	0.5742519	0.1682189	0.3864969	0.6609275	0.5341746	0.6957115	0.0432259	0.6761660	0.8280148	0.7703937
950	0.4887891	0.2308743	0.3237823	0.6668076	0.4729713	0.6665379	0.0167352	0.6893944	0.7098394	0.7196588
1000	0.4147681	0.2139989	0.3060773	0.6141066	0.4884725	0.6992219	0.0384092	0.7532507	0.7413550	0.6986723

0	0.4277735	0.2227388	0.4379290	0.5642533	0.4226862	0.8022356	0.0148463	0.7843725	0.7661573	0.6951046
50	0.6072880	0.1963496	0.3747201	0.4173089	0.4727424	0.7476076	0.0304495	0.7910089	0.6183387	0.7417306
100	0.5082310	0.2091689	0.4223910	0.3578255	0.4356028	0.7486960	0.0543805	0.6709217	0.8111829	0.6795688
150	0.4353539	0.2947552	0.6280098	0.4101801	0.4480161	0.6719349	0.0240771	0.6475050	0.5745343	0.5276208
200	0.3400016	0.3139540	0.7118907	0.3394611	0.3596201	0.7155434	0.0241130	0.7261670	0.6523457	0.5000895
250	0.1810610	0.4552970	0.6546558	0.4248630	0.5375656	0.7849377	0.0351353	0.6772616	0.8025139	0.4745393
300	0.2140514	0.4895774	0.6044049	0.3805901	0.3779161	0.7620425	0.0366463	0.6587953	0.6084636	0.5901699
350	0.1803668	0.3914104	0.5975249	0.3286587	0.3665123	0.7824725	0.0270010	0.4724000	0.7469665	0.6899914
400	0.3338585	0.4996578	0.5853555	0.3895873	0.2795334	0.7605895	0.0343445	0.4986919	0.7856835	0.5336078
450	0.3417288	0.4497910	0.5840880	0.2658495	0.4100677	0.8473512	0.0488556	0.5631567	0.8819718	0.5057914
500	0.3687347	0.3975609	0.6371340	0.3884314	0.3700023	0.6571304	0.0378025	0.5780788	0.8074870	0.5235226
550	0.3084790	0.4426330	0.5944915	0.4372581	0.3157769	0.8045468	0.0484372	0.7378295	0.9064807	0.6029391
600	0.3149572	0.4617352	0.4656373	0.5429896	0.4356956	0.8234047	0.0412535	0.7329529	0.8308071	0.9210262
650	0.3837562	0.3371871	0.3257207	0.7800162	0.6155829	0.7620301	0.0262022	0.5766262	0.6804138	0.6999018
700	0.3602409	0.2374033	0.3821270	0.5815782	0.5615825	0.8402935	0.0404888	0.7631687	0.6231420	0.8542689
750	0.3965212	0.1951865	0.4285564	0.5109767	0.5108994	0.7278385	0.0185586	0.5890707	0.8501653	0.8180739
800	0.3911957	0.1470499	0.3272357	0.5093650	0.4282665	0.8357065	0.0376558	0.5995505	0.7549252	0.7814346
850	0.4860193	0.2166677	0.4378457	0.4834785	0.4729296	0.8120324	0.0535985	0.6482574	0.8454329	0.7673869
