YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.5994265	0.3674746	0.3462093	0.3316147	1.1666595	0.0002178	0.4929627	0.2169270	0.0914447	1.0092663
0.5239254	0.5310820	0.3603154	0.2373674	0.9196143	0.0241252	1.0094784	0.0780752	0.0383391	0.7821807
0.5329956	0.5875712	0.8977737	0.1564971	0.8148593	0.0305188	0.5104110	0.0072128	0.0146487	0.7662777
0.6508034	0.7232251	0.9402459	0.1130845	1.0094499	0.0025401	0.9810399	0.0001180	0.0077222	1.0736302
0.6351712	0.7149139	0.8015282	0.1590268	0.6759395	0.0099328	0.3022842	0.6083367	0.0316567	1.0234893
0.4031587	0.6739384	0.9365923	0.1371485	0.9937399	0.0010053	1.1009541	0.0062788	0.0223133	1.0015273
0.5573934	0.7753551	0.8135913	0.1591028	1.0490654	0.0028297	0.6912913	0.0009673	0.0323758	0.5854797
0.5913753	0.8055496	0.8356947	0.1702971	1.0076401	0.0546671	0.9557878	0.0018645	0.0154062	1.0104011
0.6692976	0.8265318	0.8178115	0.0595520	1.0342880	0.0013550	0.8117193	0.2139831	0.0069108	0.5365465
0.1179025	0.0087008	0.0918571	0.5313317	0.1971301	0.2761184	0.0999512	0.8874339	0.9853088	1.0928213
