YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.0246762	0.1637961	0.6137587	0.3983380	0.8752049	0.5107511	0.6294628	0.9459619	0.0803264	0.8271226
0.0140919	0.0615221	0.6237794	0.5319083	0.6450826	0.4585065	0.7079557	0.8018505	0.0706854	0.8557226
0.0453216	0.2138555	0.2724830	0.3883179	0.7010905	0.3488606	0.6781678	0.8495041	0.0634821	0.7003556
0.1498129	0.3783044	0.7120040	0.1459025	0.6641195	0.4815024	0.7314719	0.6743429	0.0804793	0.7306395
0.1200011	0.5205387	0.6738263	0.1627860	0.4125777	0.4601529	0.6427266	0.6904255	0.0900833	0.7157862
0.0648234	0.2149967	0.6566772	0.4250046	0.7211159	0.2807253	0.7841943	0.6828970	0.0813785	0.8956126
0.0658659	0.2171413	0.8006817	0.3384246	0.6624823	0.0457879	0.3986093	0.7770957	0.1197269	0.7677356
0.0829573	0.2160106	0.6892871	0.4899872	0.8126420	0.3887039	0.6952963	0.2997476	0.0651152	0.8034322
0.0490768	0.2946704	0.6374778	0.5474061	0.6464572	0.5066320	0.6854814	0.7136680	0.0339989	0.7860327
0.0286283	0.2573293	0.7504839	0.5024036	0.6836388	0.5422909	0.7919152	0.5966306	0.2170966	0.4157915
