"Time"	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W

0	0.1120883	0.6721075	0.5054583	0.3792463	0.4766798	0.1408871	0.3250528	0.5954904	0.5427221	0.0567676
50	0.1120501	0.6724975	0.5027424	0.3605470	0.2006888	0.1363416	0.3243129	0.5956080	0.5429919	0.0557138
100	0.1119969	0.6745822	0.4743156	0.3057587	0.0994499	0.1341724	0.3155253	0.5959028	0.5433737	0.0529200
150	0.1117789	0.6860205	0.4120196	0.2564310	0.0641304	0.1311902	0.2950895	0.5965130	0.5449042	0.0499120
200	0.1109103	0.7155265	0.3442690	0.2285158	0.0557596	0.1258436	0.2708647	0.5988702	0.5510829	0.0463476
250	0.1088336	0.7623197	0.2950914	0.2179737	0.0596049	0.1191619	0.2513200	0.6066789	0.5663851	0.0415729
300	0.1055678	0.8136457	0.2699158	0.2198342	0.0683703	0.1130295	0.2395461	0.6239728	0.5917134	0.0361100
350	0.1018440	0.8552925	0.2658652	0.2310203	0.0771662	0.1085042	0.2349739	0.6507262	0.6222887	0.0310605
400	0.0985134	0.8804808	0.2784221	0.2481533	0.0829290	0.1057254	0.2357362	0.6816359	0.6511256	0.0271268
450	0.0960713	0.8886428	0.3019574	0.2669988	0.0844852	0.1044048	0.2396204	0.7100584	0.6732619	0.0244433
500	0.0946544	0.8818405	0.3298191	0.2836777	0.0822287	0.1041491	0.2445935	0.7318319	0.6867092	0.0228360
550	0.0942117	0.8636499	0.3583301	0.3122684	0.4339536	0.1091178	0.2499325	0.7457148	0.6914258	0.0224710
600	0.0946213	0.8363882	0.4084596	0.3768766	0.5430018	0.1118561	0.2620065	0.7520840	0.6883159	0.0235021
650	0.0958418	0.7944025	0.4822697	0.4331454	0.5552777	0.1146135	0.2814379	0.7517329	0.6778366	0.0250594
700	0.0980980	0.7385303	0.5460709	0.4605819	0.5285372	0.1185861	0.2992991	0.7447159	0.6584001	0.0269953
750	0.1015960	0.6847522	0.5830158	0.4624916	0.4943861	0.1236008	0.3111918	0.7295325	0.6289668	0.0296817
800	0.1060216	0.6465121	0.5940133	0.4472352	0.4673627	0.1286436	0.3174557	0.7043229	0.5931207	0.0333623
850	0.1105229	0.6267333	0.5852663	0.4231555	0.4509276	0.1327652	0.3199868	0.6696582	0.5581807	0.0377962
900	0.1141538	0.6222322	0.5636800	0.3975818	0.4441548	0.1355806	0.3206608	0.6303294	0.5308828	0.0423299
950	0.1163337	0.6283035	0.5363134	0.3760585	0.4451390	0.1372319	0.3208146	0.5940636	0.5144992	0.0462724
1000	0.1169996	0.6406967	0.5099267	0.3617092	0.4518652	0.1381128	0.3211743	0.5678099	0.5088455	0.0492425

0	0.1120883	0.6721075	0.5054583	0.3792463	0.4766798	0.1408871	0.3250528	0.5954904	0.5427221	0.0567676
50	0.1120579	0.6701301	0.5732353	0.6075694	0.2836013	0.2088459	0.3333077	0.8369950	0.5429391	0.0962798
100	0.1123141	0.6508397	0.6784049	0.6638764	0.1963828	0.2367861	0.3390769	0.8801296	0.5411959	0.1804698
150	0.1136257	0.6211948	0.7320622	0.6622041	0.1450539	0.2489698	0.3374265	0.8870397	0.5322180	0.2757102
200	0.1161115	0.5979383	0.7487229	0.6465006	0.1147368	0.2538578	0.3338071	0.8855069	0.5154351	0.3479200
250	0.1190174	0.5856734	0.7482652	0.6299422	0.0983991	0.2551806	0.3304308	0.8803161	0.4962172	0.3920771
300	0.1214759	0.5821849	0.7416068	0.6158279	0.0906185	0.2549245	0.3279057	0.8734792	0.4801885	0.4149925
350	0.1230301	0.5837590	0.7336767	0.6050129	0.0876639	0.2541436	0.3262608	0.8669199	0.4699948	0.4246930
400	0.1236875	0.5872965	0.7265851	0.5976222	0.0872159	0.2533395	0.3253087	0.8620153	0.4654358	0.4272787
450	0.1237158	0.5908687	0.7211740	0.5932895	0.0879084	0.2527018	0.3248126	0.8592124	0.4648569	0.4266308
500	0.1234259	0.5935910	0.7176102	0.5913157	0.0889666	0.2522620	0.3245733	0.8582045	0.4663808	0.4249122
550	0.1230503	0.5958665	0.6553524	0.3293889	0.2744277	0.1841901	0.3215988	0.5489184	0.4685729	0.3664713
600	0.1225959	0.6057438	0.4978609	0.2633102	0.3573086	0.1565355	0.3057367	0.4962045	0.4713059	0.2498811
650	0.1214277	0.6372609	0.3913173	0.2678795	0.4171729	0.1426701	0.2923012	0.4909968	0.4783508	0.1572759
700	0.1185324	0.6896320	0.3635745	0.2939097	0.4767756	0.1345302	0.2931148	0.5006191	0.4965720	0.1017351
750	0.1139915	0.7378181	0.3831892	0.3276884	0.5246848	0.1307868	0.3032082	0.5254304	0.5273526	0.0712758
800	0.1093410	0.7601775	0.4241036	0.3630115	0.5462403	0.1307220	0.3152188	0.5641467	0.5615439	0.0557023
850	0.1060678	0.7541843	0.4698193	0.3934148	0.5420354	0.1331142	0.3242862	0.6059652	0.5874205	0.0489811
900	0.1047636	0.7295023	0.5094782	0.4138277	0.5229981	0.1364393	0.3288325	0.6387004	0.5986904	0.0476178
950	0.1052944	0.6989526	0.5371601	0.4223669	0.5003101	0.1393758	0.3297091	0.6561381	0.5953853	0.0492844
1000	0.1071226	0.6723248	0.5512182	0.4202387	0.4807838	0.1412328	0.3285339	0.6579205	0.5816875	0.0521574

0	0.1120883	0.6721075	0.5054583	0.3792463	0.4766798	0.1408871	0.3250528	0.5954904	0.5427221	0.0567676
50	0.1165606	0.4266217	0.5051985	0.3780079	0.4700297	0.1714753	0.6825583	0.5921638	0.5142671	0.0591833
100	0.1347910	0.3284118	0.5017004	0.3650227	0.4646438	0.3100592	0.8137609	0.5482876	0.4196875	0.1255639
150	0.1625086	0.2932725	0.4842613	0.3329903	0.4393408	0.4757948	0.8623566	0.4308404	0.3176237	0.4136648
200	0.1896790	0.2871052	0.4448483	0.2889113	0.3742015	0.5940146	0.8814152	0.2810845	0.2464802	0.6981466
250	0.2080109	0.2944650	0.3848300	0.2400864	0.3051931	0.6631398	0.8896058	0.1668112	0.2080252	0.8526506
300	0.2154832	0.3081547	0.3120378	0.1943392	0.2650377	0.7001377	0.8920224	0.1048350	0.1924113	0.9255462
350	0.2145440	0.3257285	0.2405959	0.1602334	0.2573633	0.7185658	0.8901816	0.0779658	0.1908497	0.9586894
400	0.2084846	0.3454554	0.1850853	0.1420782	0.2746362	0.7264669	0.8862877	0.0698273	0.1979223	0.9735821
450	0.2000913	0.3633678	0.1522378	0.1392767	0.3047403	0.7285992	0.8829150	0.0719999	0.2102432	0.9802111
500	0.1916841	0.3760761	0.1410912	0.1479205	0.3346272	0.7281277	0.8816088	0.0807106	0.2246316	0.9830937
550	0.1685765	0.7363181	0.1470914	0.1634021	0.3635569	0.6816900	0.5031255	0.0978618	0.2829207	0.9840504
600	0.1332928	0.8833221	0.1671418	0.1906878	0.4059550	0.5161843	0.3759915	0.1776300	0.4306559	0.9799888
650	0.1105534	0.9400494	0.2106388	0.2475178	0.5089717	0.3461212	0.3393553	0.3655093	0.5664411	0.9517914
700	0.0988810	0.9519936	0.2963624	0.3349588	0.6257521	0.2408738	0.3315449	0.5564722	0.6522670	0.8331629
750	0.0936477	0.9235024	0.4133973	0.4216760	0.6552405	0.1876185	0.3314261	0.6759323	0.6961410	0.5890262
800	0.0923618	0.8484314	0.5195855	0.4789672	0.6067206	0.1630555	0.3319983	0.7352199	0.7083612	0.3557101
850	0.0942313	0.7530628	0.5896458	0.5007737	0.5397108	0.1522682	0.3313881	0.7571345	0.6927689	0.2100062
900	0.0987761	0.6745743	0.6228002	0.4937140	0.4868651	0.1474733	0.3295075	0.7531625	0.6540638	0.1331199
950	0.1049410	0.6268086	0.6266546	0.4676043	0.4537836	0.1449949	0.3267948	0.7274468	0.6034973	0.0950631
1000	0.1111303	0.6065834	0.6089797	0.4324346	0.4368422	0.1432786	0.3239231	0.6840737	0.5554030	0.0764770

0	0.1120883	0.6721075	0.5054583	0.3792463	0.4766798	0.1408871	0.3250528	0.5954904	0.5427221	0.0567676
50	0.1120551	0.6709585	0.5502592	0.5250243	0.4600609	0.5436483	0.3386425	0.5956066	0.5429584	0.2583964
100	0.1122147	0.6572192	0.6301882	0.5718203	0.3509777	0.7014867	0.3640092	0.5956849	0.5418771	0.6492906
150	0.1131567	0.6331382	0.6758150	0.5658977	0.2369834	0.7645379	0.3796745	0.5937574	0.5354003	0.8438094
200	0.1150803	0.6121597	0.6853116	0.5348816	0.1691268	0.7905115	0.3841864	0.5859830	0.5222647	0.9283344
250	0.1174530	0.6006361	0.6714650	0.5006854	0.1351213	0.8013830	0.3819272	0.5705914	0.5062799	0.9642857
300	0.1195079	0.5984204	0.6473853	0.4729830	0.1201018	0.8057355	0.3776544	0.5502956	0.4925346	0.9794811
350	0.1207300	0.6027873	0.6224365	0.4534952	0.1150342	0.8072161	0.3742737	0.5305662	0.4841985	0.9858831
