YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0797239	0.5038541	0.6738607	0.4930313	0.3941882	0.2219748	0.5569125	0.0877131	0.2575409	0.5017045
0.0737364	0.5235512	0.6525822	0.4292662	0.2764796	0.0774626	0.2584392	0.8545312	0.5059843	0.0088945
0.1204233	0.6353156	0.5656857	0.3982527	0.3978288	0.2138398	0.4290505	0.6998487	0.6544466	0.2547490
0.0851203	0.6010065	0.7074328	0.7190348	0.2445025	0.5389157	0.3689235	0.8275766	0.7421588	0.9159248
0.0967182	0.7356860	0.4780534	0.3142190	0.3459562	0.0237141	0.3216722	0.4415296	0.4651467	0.0051192
0.1376809	0.6033805	0.6961137	0.3228219	0.2228743	0.5032445	0.2391993	0.7749632	0.6661360	0.9045677
0.1137872	0.6988714	0.5961711	0.2982682	0.3515438	0.5005527	0.6620841	0.5303837	0.5574327	0.9096722
0.1184478	0.6624745	0.5803366	0.2740476	0.3586189	0.0971864	0.3708303	0.5936947	0.4807267	0.0046173
0.1271187	0.6577443	0.5047489	0.2012615	0.3986411	0.2711612	0.5145282	0.3914810	0.3576554	0.4383239
0.1381088	0.6535955	0.4839500	0.3529281	0.2665396	0.4815708	0.2229986	0.9162886	0.6386625	0.8844510
