YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.4128456	0.1744506	0.4431032	0.2829232	0.0851637	0.8990920	0.7471005	0.4917839	0.7776081	0.8520918
0.6832289	0.0742990	0.3604891	0.3956565	0.2060472	0.6634308	0.6155717	0.4816582	0.8881349	0.6479089
0.4968253	0.0487536	0.1776641	0.3783615	0.0701864	0.8612586	0.9447950	0.6306786	0.8227792	0.8273129
0.7785044	0.6915502	0.7992605	0.0891875	0.1103029	0.7962534	0.8698051	0.4105056	0.6700146	0.8152541
0.8467315	0.1561203	0.4182142	0.2633954	0.0929309	0.8491501	0.8401529	0.6421166	0.7262054	0.9490834
0.5639022	0.0592963	0.1498529	0.7135301	0.5761143	0.4173501	0.6844238	0.6250860	0.8877943	0.8838634
0.7348535	0.1250381	0.2768600	0.3680994	0.2153741	0.7411879	0.4251508	0.4381465	0.7349018	0.7574506
0.6050608	0.2568535	0.3688784	0.3078473	0.1226225	0.7497278	0.6858259	0.2792273	0.6961405	0.7415843
0.4366855	0.1994334	0.2110719	0.3393490	0.1015675	0.8180520	0.8010712	0.1138895	0.3014153	0.6762241
0.6083213	0.1325871	0.2925914	0.3336080	0.1307147	0.8298272	0.7620770	0.6725312	0.6256522	0.3942909
