YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.0419798	0.5969526	0.6518534	0.6269397	0.1658753	0.2240646	0.0394459	0.5124538	0.0542373	0.7601307
0.1083582	0.2012528	0.7230434	0.7082509	0.1486247	0.2930195	0.0531536	0.6850946	0.0870756	0.6030082
0.1757329	0.5471469	0.3304837	0.7591608	0.2161356	0.3132349	0.0185018	0.6277487	0.0804055	0.7413370
0.1051584	0.4340590	0.6866914	0.2599244	0.1458252	0.2818210	0.0796526	0.5501538	0.0536032	0.8254564
0.0791594	0.4338122	0.7403963	0.6655535	0.0896931	0.3771278	0.0446720	0.8186660	0.0955729	0.7875002
0.1526508	0.4539041	0.5955921	0.7144873	0.0735077	0.1541331	0.0182800	0.8157176	0.0675337	0.6495474
0.1094435	0.5864463	0.8167951	0.7549757	0.1970084	0.5444651	0.0189887	0.6730208	0.2262438	0.6027769
0.1030697	0.2331499	0.6219700	0.7429085	0.1096731	0.2637894	0.1257618	0.3676189	0.0454834	0.6869549
0.0849464	0.3147689	0.5861141	0.7051790	0.1851875	0.3536430	0.0323761	0.5170490	0.0246997	0.7058235
0.3909151	0.3550012	0.7752078	0.6015147	0.2175858	0.2947174	0.0768541	0.5493204	0.0759305	0.4016094
