YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.5510669	0.0821846	0.0052705	0.5551921	0.4749606	0.3405006	0.7039040	0.7453799	0.7069475	0.6223297
0.3074281	0.3505123	0.0066871	0.7057204	0.5969108	0.3620407	0.5590725	0.6570950	0.6362018	0.7879546
0.4918152	0.0006602	0.0024558	0.4617032	0.4934349	0.1837799	0.6696015	0.5557879	0.6321325	0.5648871
0.2840919	0.2183908	0.0166716	0.4233062	0.4763511	0.4629639	0.6046430	0.6591000	0.6164787	0.7222398
0.1733794	0.2212307	0.0028733	0.4904105	0.5942372	0.0008522	0.0595578	0.2020011	0.7278392	0.5312519
0.4079057	0.0092014	0.0011531	0.7633759	0.7164473	0.1621433	0.7135809	0.6837979	0.6633059	0.6390717
0.7712064	0.0001711	0.0029798	0.7542205	0.8613505	0.7043989	0.7047795	0.5472765	0.6663540	0.6015794
0.4169122	0.2796227	0.0003839	0.8215606	0.6656012	0.2173241	0.5394193	0.7865593	0.7079884	0.8064849
0.5184078	0.0005107	0.0021605	0.5482416	0.7466671	0.2305582	0.6373208	0.7712423	0.6214578	0.7864467
0.6846686	0.0021318	0.0011626	0.6412001	0.6591017	0.3000046	0.8074344	0.7887038	0.7637340	0.6884627
