YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.3512567	0.5446756	0.7030105	0.5618349	0.8428473	0.2978180	0.0631100	0.1213815	1.0000000	0.9849415
0.7022477	0.2724812	0.7029990	0.5618118	0.8428224	0.2977963	0.0631100	0.1213815	1.0000000	0.9849339
0.8790229	0.3928074	0.3938033	0.4556256	0.7344744	0.1899212	0.0631100	0.1213815	1.0000000	0.9124568
0.9876799	0.6154328	0.9088836	0.2932049	0.8708118	0.3472725	0.0631100	0.1213815	1.0000000	0.9918873
0.9996269	0.6349000	0.9775630	0.1534322	0.4384648	0.3602779	0.0631100	0.1213815	1.0000000	0.9930249
0.9276693	0.5888716	0.8238107	0.4104211	0.6919260	0.1645022	0.0631100	0.1213815	1.0000000	0.8526925
0.7022896	0.5446789	0.7030281	0.5618013	0.8428063	0.2977545	0.0315649	0.1213815	1.0000000	0.9849289
0.7022342	0.5446553	0.7029995	0.5618231	0.8428325	0.2978031	0.0628743	0.0607085	1.0000000	0.9849370
0.7022568	0.5446337	0.7030016	0.5618192	0.8428455	0.2978510	0.0729900	0.3055906	0.5000042	0.9849409
0.7022334	0.5446553	0.7029992	0.5618237	0.8428332	0.2978042	0.0631100	0.1213815	1.0000000	0.4927101
