YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.4683902	0.0760020	0.6887484	0.6929254	0.7573867	0.5462939	0.4501856	0.8052625	0.9829610	0.0362913
0.9727908	0.0380033	0.6887548	0.6929355	0.7573987	0.5462889	0.4501814	0.8052656	0.9829623	0.0362905
0.9360771	0.0766825	0.3410736	0.6839658	0.7375479	0.5645732	0.4814237	0.7493637	0.8998991	0.1324541
0.9367509	0.0760020	0.6887522	0.3465534	0.7573938	0.5462909	0.4501830	0.8052645	0.9829618	0.0362909
0.9367239	0.0760293	0.5699761	0.4389959	0.3782890	0.5472516	0.4519434	0.8017546	0.9768655	0.0451185
0.9367557	0.0759971	0.7398132	0.7706750	0.9675498	0.2730557	0.4498361	0.8059950	0.9842969	0.0342316
0.9367549	0.0759979	0.7297390	0.7565087	0.9223689	0.3620727	0.2249519	0.8058590	0.9840619	0.0345902
0.9367448	0.0760083	0.6458244	0.6145893	0.6084920	0.6781885	0.7419612	0.4022180	0.9814205	0.0386360
0.9367422	0.0760109	0.6323959	0.5872463	0.5655217	0.7167844	0.8721967	0.2530141	0.4903986	0.0395390
0.9367509	0.0760019	0.6889709	0.6932877	0.7586198	0.5447020	0.4471986	0.8112973	0.9936390	0.0181433
