"Time"	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W

0	0.2300186	0.5993079	0.4534866	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0003503	1.0000000
50	0.2297303	0.5927659	0.4428750	0.0460822	0.1704665	0.0617974	1.0000000	0.7177409	0.0002508	1.0000000
100	0.2260769	0.5713108	0.4058230	0.0461169	0.1817916	0.0163551	1.0000000	0.6404926	0.0002197	1.0000000
150	0.2162343	0.5473853	0.3626356	0.0461708	0.1834587	0.0091325	1.0000000	0.6193515	0.0002100	1.0000000
200	0.2027798	0.5299936	0.3299774	0.0462119	0.1837042	0.0079845	1.0000000	0.6135656	0.0002069	1.0000000
250	0.1900428	0.5200058	0.3102161	0.0462342	0.1837404	0.0078020	1.0000000	0.6119821	0.0002060	1.0000000
300	0.1803959	0.5150288	0.2996838	0.0462443	0.1837457	0.0077730	1.0000000	0.6115487	0.0002057	1.0000000
350	0.1740754	0.5127632	0.2944931	0.0462485	0.1837465	0.0077684	1.0000000	0.6114301	0.0002056	1.0000000
400	0.1703293	0.5117928	0.2920638	0.0462502	0.1837466	0.0077677	1.0000000	0.6113977	0.0002056	1.0000000
450	0.1682665	0.5113948	0.2909668	0.0462508	0.1837467	0.0077676	1.0000000	0.6113888	0.0002056	1.0000000
500	0.1671933	0.5112366	0.2904841	0.0462510	0.1837467	0.0077676	1.0000000	0.6113864	0.0002056	1.0000000
550	0.1671623	0.5257117	0.3121923	0.0461916	0.1068491	0.2936738	1.0000000	0.8936449	0.0003051	1.0000000
600	0.1723809	0.5561740	0.3638833	0.0461221	0.0955255	0.3391160	1.0000000	0.9708929	0.0003361	1.0000000
650	0.1843111	0.5779726	0.4051513	0.0460931	0.0938665	0.3463387	1.0000000	0.9920340	0.0003458	1.0000000
700	0.1984163	0.5896373	0.4295007	0.0460827	0.0936251	0.3474866	1.0000000	0.9978199	0.0003489	1.0000000
750	0.2104511	0.5951589	0.4421799	0.0460791	0.0935903	0.3476691	1.0000000	0.9994033	0.0003498	1.0000000
800	0.2188905	0.5975964	0.4483430	0.0460779	0.0935853	0.3476981	1.0000000	0.9998367	0.0003501	1.0000000
850	0.2240880	0.5986228	0.4512073	0.0460774	0.0935846	0.3477027	1.0000000	0.9999553	0.0003502	1.0000000
900	0.2270099	0.5990400	0.4524968	0.0460773	0.0935845	0.3477035	1.0000000	0.9999878	0.0003502	1.0000000
950	0.2285458	0.5992050	0.4530638	0.0460773	0.0935845	0.3477036	1.0000000	0.9999967	0.0003502	1.0000000
1000	0.2293128	0.5992689	0.4533086	0.0460772	0.0935845	0.3477036	1.0000000	0.9999991	0.0003503	1.0000000

0	0.2300186	0.5993079	0.4534866	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0003503	1.0000000
50	0.1880811	0.5993077	0.5901740	0.5021153	0.0532295	0.3477036	1.0000000	1.0000000	0.0001204	1.0000000
100	0.1748943	0.5993076	0.7610905	0.6485900	0.1101921	0.3477036	1.0000000	1.0000000	0.0000486	1.0000000
150	0.1707477	0.5993076	0.8393522	0.6956373	0.1624264	0.3477036	1.0000000	1.0000000	0.0000261	1.0000000
200	0.1694437	0.5993076	0.8725765	0.7107563	0.1843218	0.3477036	1.0000000	1.0000000	0.0000191	1.0000000
250	0.1690336	0.5993076	0.8864485	0.7156285	0.1921149	0.3477036	1.0000000	1.0000000	0.0000170	1.0000000
300	0.1689047	0.5993076	0.8921966	0.7172079	0.1947987	0.3477036	1.0000000	1.0000000	0.0000163	1.0000000
