YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.1688236	0.5317040	0.3311951	0.5374297	0.8534241	0.1210860	0.2316804	0.0649245	0.0650262	1.0000000
0.3532216	0.4787447	0.0659215	0.2849452	0.8534241	0.1210860	0.0645627	0.0649245	0.0650262	1.0000000
0.2512344	0.9386489	0.0811338	0.4124665	0.8534241	0.1210860	0.0763373	0.0649245	0.0650262	1.0000000
0.2449651	0.9800564	0.0433492	0.2110147	0.8534241	0.1210860	0.0466315	0.0649245	0.0650262	1.0000000
0.2718949	0.8158279	0.1583041	0.4087102	0.4267121	0.1210860	0.1312592	0.0649245	0.0650262	1.0000000
0.2179800	0.7015895	0.2227951	0.4624675	0.9396400	0.0605430	0.1722211	0.0649245	0.0650262	1.0000000
0.2661077	0.8484232	0.1395420	0.3904924	0.8534241	0.1210860	0.0592931	0.0649245	0.0650262	1.0000000
0.2349442	0.7589434	0.1902741	0.4366489	0.9163603	0.0775486	0.1678230	0.0324622	0.0650262	1.0000000
0.2656211	0.8474375	0.1401946	0.3912128	0.8544773	0.1203429	0.1191131	0.0644613	0.0325138	1.0000000
0.3009428	0.9100190	0.1014154	0.3456535	0.7441567	0.1975432	0.0792029	0.1061935	0.2852528	0.5000000
