YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.0000030	0.9694794	0.8082697	0.1371225	0.1412597	0.9980364	0.9422887	0.7070866	0.5109484	1.0000000
0.0236206	0.0000014	0.8082697	0.1371225	0.1412597	0.9980364	0.9422887	0.3672557	0.8556693	1.0000000
0.0501688	0.0512415	0.0000002	0.1371225	0.1412597	0.9980364	0.9422887	0.3672437	0.8556654	1.0000000
0.9930489	0.9912066	0.9999668	0.0000041	0.1412582	0.9980423	0.9436141	0.7124890	0.5060947	1.0000000
0.9929163	0.9855302	0.9217952	0.0896260	0.0000046	0.9980408	0.9432989	0.7105050	0.5075252	1.0000000
0.0502427	0.0512934	0.0883506	0.7776300	1.0000000	0.0000000	0.6193606	0.3672424	0.8556655	1.0000000
0.0502405	0.0512934	0.0883508	0.7776292	0.9999976	0.0088984	0.0000000	0.3672418	0.8556655	1.0000000
0.9925997	0.9694794	0.8082697	0.1371225	0.1412597	0.9980364	0.9422887	0.0000050	0.5109484	1.0000000
0.9925997	0.9694794	0.8082697	0.1371225	0.1412597	0.9980364	0.9422887	0.9999972	0.0000040	1.0000000
0.0502561	0.0512937	0.0883521	0.7776264	0.9999898	0.0139553	0.0043765	0.5905446	0.6133612	0.0000000
