YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.3810093	0.6331708	0.5227485	0.9207785	1.0578010	0.9588828	1.0374207	0.9937602	1.0356758	1.0380832
0.9398198	0.3226649	0.6043424	1.0008219	1.0196107	1.1194295	1.0874755	0.9493635	1.0109434	1.0489914
1.0048162	0.2487648	0.2517878	1.0345801	1.0316985	0.9266707	0.9899521	1.0657384	0.9788233	0.9225534
0.8589869	0.3805279	0.4193198	0.5663402	0.9270494	0.9980203	1.0512294	0.9996387	0.9658157	1.0262052
0.4349631	0.6678603	0.5439386	0.9743262	0.5344755	1.0783231	1.0663621	1.0006180	1.0359948	0.9741818
0.5316070	0.6124110	0.5448025	0.9891849	0.9650356	0.5514620	1.0663608	0.9411144	0.9951953	1.0721831
0.7936997	0.5345950	0.5391804	0.9847832	1.0003530	1.0248951	0.5232817	0.9647161	1.0009547	0.9429607
0.7182523	0.6539742	0.6229511	1.0487648	0.8924397	1.0697549	1.0620965	0.5376189	1.0894138	0.9562931
0.5809152	0.5758614	0.5465626	1.0928728	0.9389761	1.0330083	0.9465897	1.0581772	0.5471715	1.0187453
0.5703810	0.6327371	0.5707961	0.9296403	1.0242713	1.0405342	1.0657426	0.8821387	0.9843542	0.5358579
