YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.0000000	0.5923814	0.3545737	0.4689177	0.3309463	0.7593107	0.0306617	0.3842033	0.7628200	0.9391278
0.0611255	0.0000000	0.2977940	0.5076008	0.4189250	0.7285205	0.0165187	0.3351602	0.7203679	0.7786932
0.7419125	0.5892968	0.0000000	0.4697447	0.4792761	0.7034695	0.2648691	0.4559078	0.7446045	0.7553453
0.7469257	0.5084895	0.1112839	0.0036804	0.4092216	0.7573188	0.1600665	0.4178527	0.8451150	0.8603573
0.8061228	0.4845852	0.2941303	0.9304184	0.0000000	0.7713010	0.3021097	0.4281447	0.7952877	0.8016170
0.5815416	0.4385281	0.3180797	0.8108713	0.0482772	0.0000000	0.1327087	0.4779021	0.8145451	0.7919422
0.6955970	0.6065291	0.3117041	0.5572253	0.5347699	0.7981695	0.0000000	0.2808193	0.6561518	0.8727994
0.7919404	0.6336009	0.2948516	0.7290199	0.2070885	0.4565590	0.7222564	0.0000000	0.7162150	0.7601145
0.6851155	0.5489496	0.2040055	0.6432813	0.3070140	0.6010345	0.4924225	0.1570876	0.0000000	0.7982491
0.7791935	0.6679046	0.2501887	0.6036491	0.3987434	0.5155862	0.4370571	0.2489619	0.0411362	0.0000000
