YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.2094776	0.5917452	0.5325359	0.8098153	0.2687044	0.3537295	0.0983660	0.1391866	0.6626825	0.5946461
0.5340160	0.3582678	0.3825905	0.7483982	0.3136305	0.3043662	0.0508180	0.0769251	0.7275625	0.7175955
0.3023120	0.6580768	0.1725849	0.7626747	0.3255964	0.2953903	0.0517856	0.0839010	0.6781154	0.6846547
0.7087529	0.3420995	0.5386619	0.3225004	0.2152433	0.3687388	0.1299931	0.1428631	0.7601573	0.6698818
0.4170824	0.6724149	0.4241083	0.5852956	0.1902499	0.4571173	0.0746695	0.1203699	0.6725393	0.6992281
0.3565977	0.7652598	0.3378256	0.6620093	0.2820205	0.1784867	0.1343437	0.1021822	0.6679298	0.6814795
0.5030442	0.6420917	0.2992403	0.8768288	0.3443747	0.2268052	0.0431940	0.1385168	0.7096892	0.8128693
0.4057231	0.7768919	0.4081069	0.7860410	0.3378706	0.2970738	0.0582617	0.1022013	0.6143419	0.6380354
0.3437821	0.7283487	0.3713133	0.7779663	0.3010890	0.2167200	0.5828185	0.5813668	0.1094091	0.7195052
0.3590094	0.7593361	0.3525171	0.6772819	0.3103607	0.4442127	0.1981100	0.1501261	0.5734152	0.3564761
