"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
400	0.5998849	0.3907123	0.5545211	0.4154936	0.5066473	0.6860111	0.2399934	0.3594330	0.6150310	0.7695623
450	0.7313116	0.3712229	0.5861567	0.4167071	0.6837637	0.7936563	0.2935352	0.3765140	0.6409832	0.7556452
500	0.6441994	0.2999106	0.6123328	0.3213148	0.8349147	0.7530657	0.2273216	0.4334584	0.6446556	0.8502173
550	0.7904122	0.4692290	0.5406327	0.3596990	0.6999618	0.2561660	0.3984996	0.6937555	0.6736584	0.6492470
600	0.7816482	0.3576617	0.5029299	0.3138120	0.6196419	0.1871287	0.2209196	0.6281997	0.5981582	0.7398794
650	0.8749954	0.4745983	0.5047813	0.3400100	0.6229917	0.1127515	0.2288274	0.6750996	0.7225089	0.6377479
700	0.6970425	0.3282062	0.6057614	0.3133154	0.3788868	0.0376138	0.2250703	0.7234317	0.8631642	0.7398867
750	0.8049779	0.3263178	0.4700597	0.3972578	0.2966175	0.1120393	0.2308581	0.7416651	0.6439843	0.8000612
800	0.7831798	0.3745253	0.4865776	0.4494049	0.2338325	0.0856019	0.2177845	0.6824718	0.5410245	0.8020176
850	0.6830261	0.4352217	0.4459663	0.4470052	0.2294199	0.0601306	0.2162089	0.8101360	0.5668204	0.8895918
900	0.8339995	0.4047473	0.5633634	0.4673564	0.1220809	0.0583446	0.2230641	0.7253873	0.5837247	0.8672806
950	0.8214459	0.4360029	0.5188530	0.4637843	0.1392804	0.0570886	0.2546135	0.7416462	0.5121435	0.7224846
1000	0.7858597	0.4618731	0.4642847	0.5199471	0.0981564	0.0979607	0.2225604	0.8226321	0.4483967	0.8950026

0	0.8516870	0.4372805	0.5209981	0.5576785	0.2734648	0.1891329	0.1580233	0.7155447	0.4467891	0.8414859
50	0.7920026	0.7325391	0.7600242	0.5201726	0.1385329	0.0314369	0.2037252	0.7882955	0.7039271	0.7024267
100	0.8944956	0.6361453	0.9320089	0.5420957	0.1498592	0.0361583	0.2446452	0.6103009	0.7039990	0.6461668
150	0.7708543	0.6300216	0.7186490	0.7904119	0.1437842	0.0850618	0.2667430	0.6437028	0.8685716	0.8143145
200	0.7161778	0.7370698	0.8659710	0.5570279	0.1124291	0.0278779	0.2058251	0.7337446	0.7340879	0.7825612
250	0.9315710	0.7074151	0.7107156	0.5262341	0.1255246	0.0343790	0.2195979	0.6767304	0.6743591	0.7373094
300	0.8191169	0.6615399	0.7960945	0.5524863	0.0663885	0.0329604	0.1842983	0.8036523	0.6461926	0.7465567
350	0.8505989	0.6193065	0.7675203	0.7767821	0.0674991	0.0122615	0.1835637	0.7936663	0.6934034	0.7381141
400	0.8453426	0.6591116	0.8099778	0.6799902	0.0657271	0.0454409	0.1679854	0.7095752	0.8354486	0.8931375
450	0.7510151	0.6899545	0.8732036	0.6848425	0.0525016	0.0236803	0.2369218	0.6618906	0.6267362	0.6852217
500	0.8145880	0.6477266	0.8725336	0.6052625	0.0432054	0.0571213	0.1807893	0.7094107	0.6188400	0.7185382
550	0.8468708	0.5084301	0.6985571	0.6910396	0.1181122	0.1127650	0.1994653	0.6870723	0.3586872	0.7674118
600	0.7351384	0.5498163	0.6254872	0.6817047	0.1774289	0.0668010	0.2005107	0.7256769	0.4099794	0.8269871
650	0.8718480	0.4306486	0.7286089	0.5860625	0.1452277	0.0913140	0.1511153	0.7652663	0.3559069	0.8901287
700	0.9424502	0.4749204	0.6090006	0.6457733	0.1398599	0.1439772	0.1620959	0.6069072	0.4198901	0.7949520
750	0.7568883	0.4879429	0.5384137	0.5184604	0.1986323	0.1297459	0.2998395	0.7970522	0.3729414	0.7719190
800	0.8221322	0.3703480	0.5287734	0.5623861	0.1962003	0.1190554	0.2376292	0.6119021	0.4884810	0.6641577
850	0.7662480	0.3588997	0.6162443	0.5041790	0.1861375	0.0659368	0.2327341	0.8015096	0.7077215	1.0000000
900	0.7531125	0.3453474	0.7346043	0.5484044	0.1951455	0.1233893	0.2377730	0.6371646	0.4913446	0.7626345
950	0.6695908	0.4278766	0.5220352	0.6465038	0.2506188	0.0682154	0.1969537	0.6616635	0.6165493	0.7956509
1000	0.7545521	0.3703646	0.7044978	0.5589007	0.2970780	0.1259096	0.2653277	0.7745090	0.5518358	0.9430921

0	0.7373805	0.3701958	0.5406051	0.4731711	0.2812132	0.1816149	0.1407853	0.6921134	0.4986793	0.7601289
50	0.6218396	0.5597734	0.6798195	0.5043173	0.1576674	0.0428522	0.3001531	0.5236803	0.5453442	0.7176532
100	0.7493737	0.5345020	0.6232543	0.5146224	0.0921213	0.1447226	0.4154153	0.3763452	0.3989608	0.8784793
150	0.8142665	0.5043944	0.7230208	0.5307385	0.1775052	0.2763139	0.3978029	0.4473087	0.5388751	0.5905462
200	0.8042151	0.4568310	0.5966524	0.6171804	0.4467161	0.4243543	0.5825540	0.3937237	0.4599323	0.7666150
250	0.7592152	0.4547658	0.7917953	0.5448699	0.5196590	0.5208195	0.4594505	0.4003446	0.5597752	0.7580908
300	0.8657693	0.4137566	0.6814447	0.6118831	0.4652701	0.5841579	0.4293624	0.3263546	0.6241147	0.7149805
350	0.7131007	0.5007427	0.6816405	0.6083417	0.8275093	0.5438629	0.5205814	0.4582432	0.8176748	0.7413463
400	0.7385300	0.5102684	0.7681539	0.4349285	0.6914774	0.5095521	0.6727195	0.3049142	0.7495502	0.6261261
450	0.7578960	0.4624508	0.5815788	0.3569343	0.6011638	0.6537148	0.5116560	0.3747509	0.6603803	0.8230635
500	0.6337658	0.5132426	0.5157417	0.3706847	0.5664886	0.5829275	0.5349692	0.3284104	0.6654806	0.6995311
550	0.7055435	0.4706823	0.4330460	0.4494197	0.6328455	0.5142094	0.4389500	0.6273238	0.6322178	0.7708061
600	0.7030642	0.3449614	0.5832494	0.3888283	0.6230146	0.4680839	0.3426044	0.6783654	0.7112588	0.6789179
650	0.6774876	0.4383628	0.5442006	0.4290308	0.6891548	0.4118555	0.2982157	0.5869101	0.7032472	0.7055638
700	0.7947297	0.3095720	0.5973764	0.3644043	0.6482988	0.2317291	0.2980842	0.6306805	0.8034438	0.6633867
750	0.5640043	0.4293963	0.5815129	0.4010994	0.7532200	0.2046664	0.2452007	0.6092278	0.7115726	0.8354658
800	0.6893883	0.4205738	0.5507922	0.4336822	0.5400697	0.0891552	0.2276308	0.6018342	0.6689941	0.8709364
850	0.7797842	0.3823430	0.5747094	0.3696675	0.4912675	0.0464240	0.1902053	0.6144820	0.6699180	0.7353358
900	0.7995004	0.3720824	0.5778283	0.4679773	0.2466435	0.0613429	0.1897035	0.6276559	0.6191698	0.8616920
950	0.6673811	0.4857049	0.5992276	0.3976309	0.2944822	0.1372377	0.2158782	0.7207939	0.6377649	0.8135451
1000	0.8486083	0.3711708	0.6512387	0.5228106	0.2670278	0.1477360	0.4223425	0.6456226	0.6901821	0.7240773

0	0.7565199	0.3487559	0.5765683	0.5016453	0.3109783	0.1419078	0.1704351	0.7288120	0.4796975	0.7050179
50	0.8666393	0.4635062	0.6741075	0.4540595	0.4943352	0.6408953	0.3788473	0.5558075	0.6508069	0.7300250
100	0.6901998	0.4801400	0.5209476	0.5600575	0.4752523	0.6930701	0.3986718	0.4695370	0.7208135	0.7244104
150	0.9500845	0.4276771	0.4838749	0.4351069	0.5955080	0.7689916	0.4589701	0.5650731	0.8539873	0.7373075
200	0.7559936	0.3746777	0.5572088	0.3897122	0.5570133	0.7327099	0.4319184	0.4918835	0.7044070	0.6851378
250	0.6894064	0.3809173	0.5858669	0.3810887	0.6810831	0.6712611	0.3130903	0.6180220	0.8032421	0.7324140
300	0.7679954	0.3901607	0.5422908	0.3612337	0.6685930	0.6235509	0.4067075	0.6412276	0.8249748	0.8294982
