YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.4505589	0.6076942	0.3768903	0.7466834	0.5053753	0.9096647	0.2441088	0.4739045	0.9254572	1.0000000
0.4858783	0.3025164	0.3766792	0.7472521	0.5042421	0.9068465	0.2490363	0.4761342	0.9254572	1.0000000
0.9290841	0.6771078	0.1880675	0.7492553	0.5008651	0.8986860	0.2632460	0.4824270	0.9254572	1.0000000
0.9162083	0.6420410	0.2636118	0.3746351	0.5008815	0.8987287	0.2631740	0.4823946	0.9254572	1.0000000
0.8984612	0.6015612	0.3654183	0.9009174	0.2504494	0.8987813	0.2630703	0.4823538	0.9254572	1.0000000
0.8985876	0.6018880	0.3645436	0.8891125	0.2706628	0.4493907	0.2630707	0.4823538	0.9254572	1.0000000
0.9210676	0.6536189	0.3800415	0.7358698	0.5235240	0.9551872	0.1555065	0.4325338	0.9254572	1.0000000
0.9507114	0.7585341	0.3672522	0.7927422	0.4290810	0.7385785	0.5238980	0.2868386	0.9254572	1.0000000
0.9425266	0.7231502	0.3548796	0.7691582	0.4673762	0.8205820	0.3921520	0.3664880	0.4627308	1.0000000
0.9329489	0.6888195	0.3637213	0.7611980	0.4805919	0.8505605	0.3436971	0.4035671	0.5908194	0.5000000
