"Time"	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C

0	0.7514024	1.0418331	0.0710410	0.6085834	0.5653944	0.3509635	0.6878466	1.0235381	1.0443122	0.9691933
50	0.7465174	0.8456500	0.0603791	0.5669368	0.6934986	0.1825810	0.6937356	0.9710582	0.9604620	0.9648955
100	0.6647175	0.5611213	0.0765101	0.6310005	0.7872265	0.0980526	0.6875197	0.9466635	0.9709099	0.9000288
150	0.5710017	0.4031073	0.0983056	0.5392424	0.8503573	0.1095461	0.6977512	0.8516970	0.9789881	1.0153978
200	0.4443541	0.4111961	0.1356027	0.5240342	0.8710746	0.0716489	0.7872683	0.9190762	0.9330129	0.9570958
250	0.3104011	0.3173817	0.1719065	0.5060795	0.9118646	0.0925354	0.7740721	1.0060976	0.9961107	0.9924874
300	0.2331862	0.2581379	0.1953023	0.4998645	0.8788511	0.1440355	0.8075169	1.0123109	1.0029510	0.9400655
350	0.1481508	0.2520741	0.2116668	0.4910059	0.7987795	0.1627602	0.8344324	1.0154818	0.9893796	1.0493511
400	0.1196517	0.2769028	0.2454728	0.4457181	0.7694579	0.1907376	0.7128321	1.0846847	0.9478315	1.0011302
450	0.0932762	0.2355814	0.2493848	0.3854137	0.8433347	0.1823567	0.7599991	1.0160142	1.0124063	1.0334163
500	0.0933066	0.2213155	0.2824253	0.3473922	0.7869765	0.2355277	0.7908925	1.0029942	1.0840117	1.0264955
550	0.0885854	0.4396041	0.2343470	0.3636314	0.7482809	0.4915774	0.7503787	0.9411627	1.0326440	0.9931773
600	0.1700501	0.7142730	0.1944510	0.5106693	0.5867553	0.7899768	0.7468066	1.0070049	0.9675037	1.0828641
650	0.4132033	0.8495601	0.1192256	0.6277741	0.3940348	0.7808010	0.6930025	0.9185234	0.7945883	1.0312539
700	0.5885350	0.8112793	0.0857959	0.8144092	0.3637049	0.6299980	0.5857069	1.0138793	0.7572114	1.1354278
750	0.6020583	0.9342716	0.0728589	0.8485110	0.3825996	0.6273760	0.5281189	0.9290234	0.6961841	1.0133229
800	0.6746553	0.9837488	0.0832914	0.8615196	0.5129053	0.6539578	0.5626450	1.0021180	0.7594197	0.9508350
850	0.7323154	0.9779587	0.0756997	0.8111103	0.4704546	0.5536732	0.5174606	0.9796588	0.8448278	0.8931978
900	0.7518551	0.9870622	0.0721616	0.7908599	0.4402301	0.5326745	0.5780149	0.9088202	0.9041070	1.0110518
950	0.8014992	1.0573003	0.0922412	0.7338873	0.3952105	0.4284765	0.6610978	0.9181828	0.9553571	0.9439087
1000	0.8475589	1.0671334	0.0590336	0.7055273	0.5109996	0.3030455	0.6413153	0.9771202	1.0171175	1.0305155

0	0.7514024	1.0418331	0.0710410	0.6085834	0.5653944	0.3509635	0.6878466	1.0235381	1.0443122	0.9691933
50	0.8433840	0.9590865	0.0770929	0.5567159	0.6790306	0.2630614	0.6244716	0.9408885	0.7219944	1.0282922
100	0.8695086	0.9218249	0.0728263	0.6202698	0.5932445	0.1896959	0.6888180	0.9232341	0.5233871	0.9817225
150	0.9151783	0.9613524	0.0522654	0.6081934	0.6220971	0.1088926	0.5905071	0.8593411	0.4897114	0.9080690
200	0.8701155	1.0366438	0.0997421	0.5500466	0.7584133	0.0888873	0.7092325	0.8157916	0.4731966	0.9156353
250	0.8942251	0.9690064	0.1021317	0.5055981	0.8519085	0.0735357	0.7228720	0.8078802	0.4837582	1.0180681
300	0.8606071	0.9568013	0.0654897	0.4910832	0.8663821	0.0531558	0.8204517	0.7081649	0.5016845	1.1164349
350	0.9113832	1.0160914	0.0733765	0.5309002	0.9130191	0.0474220	0.8228299	0.7703147	0.4257769	1.0389093
400	0.9154128	1.0935590	0.0733427	0.4708803	0.9403221	0.0452850	0.7518424	0.7406619	0.4165290	1.0047063
450	0.9228709	1.0649168	0.0558682	0.4987531	0.9136962	0.0253098	0.8184912	0.8376167	0.4469440	0.9912826
500	0.9701376	1.0200174	0.0970220	0.4634959	0.9794332	0.0382384	0.8821135	0.7119550	0.4196460	0.9731274
550	0.9086307	1.0517612	0.0576295	0.4437633	0.9278725	0.0523814	0.8092997	0.7824298	0.5942292	0.9738931
600	0.8154707	0.9874738	0.0625062	0.5157138	0.8768676	0.0877762	0.8212927	0.8201098	0.8881842	0.8518850
650	0.8569941	1.0364853	0.0644348	0.4508552	0.8548012	0.1556420	0.7698704	0.9121078	0.9035613	0.9548206
700	0.8048456	0.9671943	0.0597523	0.4276473	0.8572748	0.1370680	0.7263867	0.8330457	0.8742624	0.9510664
750	0.7978652	1.0255833	0.0850892	0.5080515	0.8507684	0.1930059	0.7031030	0.9053331	1.0042663	1.0494474
800	0.7667297	1.0379960	0.0682050	0.4703996	0.7652339	0.2096559	0.7501737	1.0219185	0.9293328	0.9849187
850	0.7971977	0.9448924	0.0590590	0.6137825	0.8399982	0.2068992	0.6817884	0.9506721	1.0142444	1.0251734
900	0.7747954	0.8863350	0.0820182	0.5141353	0.7583715	0.2357016	0.6628218	0.9219514	0.8964311	0.9964025
950	0.7652231	0.8794245	0.0972763	0.5402363	0.6560780	0.2678731	0.6992456	1.0005986	1.0459002	1.0456447
1000	0.7200357	0.9123411	0.1057779	0.5843571	0.7200715	0.2726696	0.6473900	0.9983420	1.0153427	1.0641831

0	0.7514024	1.0418331	0.0710410	0.6085834	0.5653944	0.3509635	0.6878466	1.0235381	1.0443122	0.9691933
50	0.7841859	0.8670354	0.0721198	0.6331282	0.4599156	0.2580162	0.5921533	0.8927323	0.9999708	0.9548459
100	0.8083099	0.9947110	0.0665300	0.8357742	0.4137639	0.1765574	0.6530876	0.8846939	0.9441158	0.9226395
150	0.7414024	1.0857644	0.0944751	0.8069099	0.5232901	0.1501937	0.5318191	0.9536893	0.8874156	0.9802342
200	0.6921299	1.0805183	0.0708216	0.6899175	0.4607898	0.1351297	0.6252909	1.0584589	0.8662862	1.0119969
250	0.7856777	1.0696499	0.0737917	0.7377030	0.5074466	0.1269486	0.5560984	0.9529959	0.9347424	0.9510320
300	0.8094460	1.0609231	0.0901164	0.7192952	0.4713485	0.1582968	0.6003694	0.9867247	0.9174806	0.9651777
350	0.8221662	1.0255871	0.0769044	0.7437473	0.4955040	0.1369208	0.5820911	0.9556330	0.9275970	1.0419146
400	0.7400113	0.9566270	0.0600120	0.6766918	0.4800155	0.1212306	0.7515361	1.0445556	0.9144694	1.0648510
450	0.7662409	0.9943729	0.0921319	0.7729722	0.5580001	0.1108971	0.6804017	0.9972276	0.8901036	0.9360950
500	0.8107470	0.9460992	0.0920803	0.7350859	0.5814445	0.0876117	0.5734046	1.0633725	0.8490826	1.0572572
550	0.6785543	0.9849253	0.0883366	0.7353535	0.6627919	0.1993872	0.6290064	1.0489285	1.0071561	1.0678343
600	0.7552796	1.0659935	0.0962932	0.7005247	0.5963163	0.3655526	0.6262944	0.9435140	0.9252790	1.0176493
650	0.7805038	0.9898632	0.0837184	0.6599547	0.6335163	0.3690814	0.5899109	0.9600280	0.9464477	1.0285885
700	0.8117707	1.0877993	0.0649955	0.6778747	0.5313383	0.4273966	0.5079040	0.9712252	0.9332238	0.9784780
750	0.8165721	1.0494847	0.0834605	0.6535937	0.5801827	0.4065882	0.4699310	0.9585801	0.9995169	1.0174543
800	0.8381928	0.9835048	0.0595350	0.6788235	0.5363191	0.4166777	0.5611200	0.9613727	1.0011800	0.8837967
850	0.8479137	0.9692828	0.0700662	0.6307930	0.5031088	0.3943482	0.5770439	0.9321342	0.8914896	1.0053765
900	0.7180936	1.0602856	0.0809837	0.6393550	0.5004598	0.4480142	0.5614314	0.9959403	0.8539526	0.9855007
950	0.7121918	1.0319488	0.0658324	0.7189045	0.5062855	0.4565140	0.6125790	0.9738049	0.8682036	0.9611023
1000	0.6791047	1.0554781	0.0822635	0.6967215	0.5702847	0.3938690	0.7038740	0.9125823	0.8852550	1.0097533

0	0.7514024	1.0418331	0.0710410	0.6085834	0.5653944	0.3509635	0.6878466	1.0235381	1.0443122	0.9691933
50	0.7401877	0.8447121	0.0453713	0.6194003	0.6404249	0.2531694	0.6306941	1.0485014	1.0621961	1.0101901
100	0.7862753	0.5333114	0.0513583	0.6436000	0.6171506	0.3112190	0.6500459	1.0468207	1.0561267	1.0579513
