YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.1002829	0.0000000	0.6425292	0.1022633	0.9854259	0.0000000	0.5755514	1.0717394	0.5654036	0.8218814
0.0760475	0.0000000	0.0522008	1.0563348	0.0000000	0.6747803	0.5841042	1.0214277	0.2198191	1.0853099
0.0939747	0.0000000	0.7867596	0.1115363	0.9853203	0.0300907	0.0183128	0.0000000	0.4776570	1.0069813
0.0934120	0.0000000	0.4335888	0.2657309	0.6649773	0.4728527	0.5608851	1.0107332	0.0000000	1.0329767
0.0844435	0.0000000	0.4733331	0.2065804	0.6609633	0.6483504	0.6103654	1.0499081	0.6992414	0.0000000
0.1075848	0.0142501	0.0994723	1.0077558	0.0000000	0.0000000	0.6232934	1.1192218	0.1796058	1.0224728
0.0867265	0.0153936	0.0663939	1.0428773	0.0000000	0.0140335	0.0090613	0.0000000	0.1410721	1.0108611
0.1166677	0.0123083	0.0589403	0.9731518	0.0000000	0.5847150	0.6417414	0.9621213	0.4909493	0.0000000
0.1250942	0.0786655	0.2277362	0.3908472	0.5205239	0.0000000	0.0107340	0.0000000	0.2971299	1.0124165
0.1139706	0.1079251	0.3680450	0.1614397	0.8498104	0.0000000	0.6174398	1.0645829	0.7526034	0.0000000
