YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.0000000	0.5801326	0.2853822	0.1066522	0.1483924	0.0709655	0.5259349	0.6687809	0.3160065	0.7158742
0.0438670	0.0000000	0.2609196	0.1489324	0.1015053	0.0721099	0.6270165	0.0409300	0.6899654	0.7172506
0.0375920	0.0923951	0.0000000	0.0780629	0.0819840	0.0330457	0.6180507	0.0597847	0.7575119	0.6997393
0.0436198	0.0621529	0.0127389	0.0000000	0.0797136	0.0987381	0.7307918	0.0343554	0.8132524	0.8826211
0.7758052	0.4005557	0.1363184	0.0410443	0.0000000	0.0700722	0.6698890	0.4153984	0.2778057	0.7246195
0.7314553	0.2732314	0.0857550	0.0572257	0.0061658	0.0000000	0.6545336	0.5233325	0.3798883	0.8359537
0.7152228	0.6821333	0.6811519	0.6781123	0.8042724	0.7401115	0.0000000	0.5877324	0.3326513	0.6695387
0.7519338	0.6825456	0.5383059	0.2362178	0.1061904	0.0682884	0.5001965	0.0000000	0.2783362	0.7048200
0.6945312	0.5258870	0.2869298	0.1040402	0.0648974	0.0536090	0.6497506	0.7976406	0.0000000	0.8355134
0.7404785	0.8617972	0.4886860	0.5967937	0.7893054	0.6025012	0.0389538	0.0446293	0.8618311	0.0000000
