YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0000017	0.9413986	0.0329131	0.9662553	0.8229428	0.7809051	0.8003472	1.0000000	0.7721886	1.0000000
0.9999928	0.0000035	0.0329131	0.9662552	0.8229427	0.7809051	0.8003472	1.0000000	0.7721885	1.0000000
0.0857803	0.9999688	0.0000027	0.9662553	0.8229428	0.7809051	0.8003472	1.0000000	0.7721886	1.0000000
0.9978563	0.0652373	0.9999960	0.0000000	0.3180020	0.7809051	0.8003472	1.0000000	0.0758346	1.0000000
0.9977841	0.0652705	0.9997655	0.0308390	0.0000010	0.7809051	0.8003472	1.0000000	0.0824746	1.0000000
0.0865964	0.9414880	0.0328808	0.9886447	0.9986189	0.0000023	0.8003472	1.0000000	0.7789691	1.0000000
0.0865962	0.9414915	0.0328806	0.9886631	0.9986580	0.0429951	0.0000009	1.0000000	0.7790181	1.0000000
0.0865963	0.9414911	0.0328806	0.9886517	0.9985163	0.1285824	0.0249803	0.0000000	0.7790099	1.0000000
0.0865977	0.9413986	0.0329131	0.9662552	0.8229427	0.7809051	0.8003472	1.0000000	0.0000022	1.0000000
0.0865977	0.9413986	0.0329131	0.9662552	0.8229427	0.7809051	0.8003472	1.0000000	0.7721885	0.0000049
