YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.5262870	0.7114642	0.9946234	0.9445888	0.0767057	0.4827302	0.9974309	0.1337583	0.2638934	0.5627577
1.0456943	0.3578676	1.0237238	1.0166080	0.1080175	0.5553562	0.9721110	0.1113922	0.2517610	0.5725403
1.0588940	0.6673400	0.5014656	0.9622332	0.0438484	0.5058058	0.9738912	0.0690166	0.1578494	0.5398822
1.0724012	0.7498818	1.0095661	0.5005498	0.0858276	0.5453372	0.8878768	0.1466325	0.2568190	0.4754453
1.0179733	0.7782955	1.0570524	1.0178609	0.0578074	0.5207074	0.9462569	0.1546222	0.2520536	0.4893755
1.0338513	0.7270455	0.9948817	0.9899810	0.0852054	0.2650828	0.8988519	0.1463148	0.2609917	0.5464812
1.0827158	0.8510138	1.0487162	0.9178163	0.0909263	0.6877886	0.4782024	0.1374676	0.3196598	0.1362198
1.1000024	0.6982344	1.0384448	0.9795056	0.0354232	0.4783344	0.8848580	0.0770390	0.2835017	0.5242847
1.0919085	0.6882300	0.9506123	1.0141803	0.0497449	0.4290037	0.9711814	0.0617477	0.1121870	0.6779996
1.0043671	0.8987387	0.9372944	0.9615445	0.1665660	0.5799432	0.8284857	0.1581187	0.2448443	0.2052144
