YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.0000004	1.0000000	0.0771496	0.9088435	0.2965840	0.9999994	0.5205472	0.9082459	0.6837672	1.0000000
0.0298104	0.0000003	0.4762234	0.4888882	0.2966520	0.9996144	0.5205590	0.9082991	0.6839050	1.0000000
0.7917360	1.0000000	0.0000055	0.6241904	0.6149696	0.2907995	0.6445491	0.9671597	0.9714335	1.0000000
0.7917360	1.0000000	0.0670767	0.0000000	0.6152252	0.2905841	0.6446933	0.9671684	0.9714990	1.0000000
0.7917360	1.0000000	0.0776029	0.9993340	0.0000000	0.7851760	0.3685754	0.9343840	0.7705864	1.0000000
0.7917360	1.0000000	0.0736262	0.4608753	0.9999985	0.0000020	0.7677372	0.9698973	0.9999991	1.0000000
0.7917360	1.0000000	0.0771497	0.9088442	0.2965837	0.9999996	0.0000042	0.9082201	0.6837628	1.0000000
0.7917360	1.0000000	0.0740123	0.4956070	0.8687578	0.0980687	0.9999715	0.0000022	0.9981281	1.0000000
0.7917360	1.0000000	0.0740117	0.4956003	0.8687678	0.0980668	0.9999723	0.0147850	0.0000002	1.0000000
0.7917360	1.0000000	0.0752233	0.6247164	0.6134399	0.2924946	0.6428807	0.9698944	0.9999977	0.0000039
