YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.3533538	0.8244424	0.2706284	0.1491135	0.1480578	0.3271698	0.3052967	0.6464939	0.8625694	1.0000000
0.9886840	0.4122213	0.2706284	0.1491135	0.1480578	0.3271698	0.4526448	0.3735090	0.8625694	1.0000000
0.5282693	0.9571375	0.1781122	0.1941392	0.1796588	0.3513663	0.3273447	0.5915123	0.8625694	1.0000000
0.5422974	0.9469148	0.1890537	0.0937000	0.1755320	0.3484532	0.3299299	0.5855621	0.8625694	1.0000000
0.5472335	0.9423829	0.1940742	0.0981676	0.0872020	0.3473407	0.3305792	0.5841681	0.8625694	1.0000000
0.5307632	0.9550436	0.1807460	0.0860052	0.0429353	0.1753772	0.3280860	0.5904812	0.8625694	1.0000000
0.7067075	0.8244424	0.2706284	0.1491135	0.1480578	0.3271698	0.1831278	0.5090053	0.8625694	1.0000000
0.7067075	0.8244424	0.2706284	0.1491135	0.1480578	0.3271698	0.5637939	0.2545050	0.8625694	1.0000000
0.9969155	0.2785657	0.5529989	0.2884607	0.2198818	0.3708649	0.4019328	0.4459157	0.4312847	1.0000000
0.7550898	0.7873166	0.2879687	0.1586892	0.1556919	0.3334571	0.3638805	0.5137261	0.6810397	0.5000000
