YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.3655062	0.0369495	0.0531781	0.6128323	0.8349514	0.6179873	0.1697402	0.6556878	0.5791876	0.7073319
0.7074439	0.0058794	0.0723110	0.5751557	0.6894141	0.7575878	0.1224954	0.4377412	0.7810745	0.8669315
0.8292678	0.0329407	0.0529788	0.6160394	0.6601560	0.8236427	0.2511101	0.6951978	0.7504974	0.7190723
0.7813197	0.0286307	0.0853790	0.4157034	0.7922775	0.5746235	0.1312133	0.6547033	0.6285009	0.7355048
0.7712322	0.0695837	0.0733054	0.6055437	0.3118185	0.8050057	0.1786014	0.5374029	0.7620812	0.7510876
0.6791400	0.0655369	0.0255446	0.8223011	0.5367735	0.3979789	0.3566358	0.4340828	0.6973128	0.7890455
0.7863436	0.0326706	0.0590925	0.6166788	0.6756532	0.7576873	0.0324869	0.6489469	0.5923335	0.7660134
0.8079249	0.0230767	0.0658489	0.6566403	0.5699318	0.7630059	0.2709082	0.2530289	0.7143631	0.7938214
0.6775011	0.0573347	0.0537175	0.6720750	0.6397877	0.7732803	0.3104062	0.4414265	0.2907058	0.8531356
0.8169531	0.0320401	0.1041572	0.6999815	0.7805840	0.8447704	0.1626775	0.6124908	0.5778390	0.3285379
