YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.2899935	0.2800813	0.5766131	0.4559052	0.6495695	0.1322165	0.0851638	0.8701739	0.8643811	0.7999461
0.6051715	0.1786667	0.4925615	0.4156905	0.5916185	0.1580288	0.0625891	0.8086555	0.6607736	0.6216785
0.8351050	0.2156907	0.2827424	0.4539822	0.5506551	0.2094484	0.0426518	0.7924261	0.7426807	0.8379816
0.6248451	0.4012855	0.4976974	0.2974163	0.4255123	0.1482585	0.0551135	0.6552862	0.3695049	0.6392456
0.3671954	0.3847707	0.6511087	0.5534310	0.2826004	0.0641458	0.1151928	0.8001352	0.7142054	0.6015524
0.4638755	0.3774693	0.4349364	0.4064384	0.4528158	0.0657080	0.0491929	0.7325903	0.6598626	0.9033144
0.3522609	0.3100838	0.5654900	0.4530774	0.5271272	0.0409096	0.0555305	0.6239685	0.7204833	0.7097811
0.4138984	0.3781282	0.5614044	0.3201697	0.4591494	0.2181752	0.1267535	0.3444169	0.7077283	0.6534877
0.5427024	0.2813270	0.5066846	0.4142611	0.4105452	0.0977842	0.0597742	0.6403966	0.4099885	0.6760856
0.3104609	0.3895489	0.5318263	0.4862085	0.5973361	0.1062344	0.1342800	0.8476548	0.7223827	0.3318000
