YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.0000000	0.0323703	0.0300117	0.8301896	0.5056336	0.6941480	0.0425538	0.6583324	0.6879716	0.6374677
0.5115112	0.0000000	0.2677470	0.6765126	0.4515042	0.8653517	0.0404546	0.8036209	0.6248422	0.8204925
0.8376925	0.0064656	0.0000000	0.3919444	0.5006384	0.7717639	0.0467810	0.5829626	0.7583628	0.7840153
0.3126622	0.5906472	0.7450717	0.0000000	0.4554358	0.7229758	0.0142454	0.8526875	0.7543477	0.8855074
0.4639691	0.2233834	0.3578448	0.6908772	0.0000000	0.8835602	0.0529024	0.5467354	0.6818324	0.8194540
0.3668399	0.2891378	0.3793473	0.5840040	0.0239374	0.0000000	0.3676198	0.5917824	0.7729881	0.8278865
0.4356569	0.1653997	0.3489179	0.5341419	0.4527883	0.7119318	0.0000000	0.5833352	0.7373948	0.7060651
0.4126758	0.2879514	0.3448139	0.7017609	0.3790627	0.6355056	0.0213310	0.0000000	0.7843539	0.6733110
0.3497202	0.1777074	0.3062781	0.5642617	0.7100750	0.7437994	0.0364899	0.1024193	0.0000000	0.6985044
0.3984104	0.1637732	0.3810387	0.8158836	0.0218549	0.5753178	0.0196516	0.6332239	0.8118913	0.0000000
