YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.4550783	0.4852833	0.3294140	0.6924378	0.5081581	0.9196078	0.2437341	0.4801116	0.9293853	0.9953563
0.4966017	0.3351174	0.3863794	0.7499580	0.4957467	1.0740360	0.2321524	0.4148276	0.9163196	1.0028784
0.9317080	0.7452908	0.2014242	0.7649703	0.5870569	0.8445154	0.3045207	0.5445416	0.9522321	0.9864825
0.9195712	0.5844719	0.3137415	0.3715688	0.5450254	0.9351855	0.2105142	0.5295705	0.9748311	1.0414422
0.9549109	0.5580814	0.3090446	0.8475465	0.2374354	0.9779237	0.2921694	0.4593807	0.8846298	1.0332438
0.9497434	0.5496732	0.3883661	0.9661950	0.3165298	0.3992733	0.2557086	0.4952776	0.8490757	0.9850683
0.9335528	0.6336409	0.3892162	0.7809225	0.5112881	0.9905891	0.1405376	0.4725034	0.9895771	1.0484641
0.9290109	0.6788399	0.3593728	0.8066888	0.4097688	0.7479900	0.5232765	0.3167193	0.8903726	1.0050661
0.9107103	0.7866844	0.3138471	0.7270054	0.4823390	0.7730399	0.4272230	0.3410720	0.4164622	0.9707660
0.9380045	0.8238016	0.3350285	0.7540961	0.4424134	0.8529249	0.3168061	0.4095638	0.6216837	0.4835115
