YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.1072359	0.4391758	0.4672669	0.9652266	0.5233416	0.9799180	0.9694961	0.3938162	0.1681364	1.0000000
0.2142482	0.2267987	0.4407813	1.0000000	0.0255013	0.0376431	0.0681757	0.0776630	0.1655479	1.0000000
0.2144795	0.6203286	0.2342099	0.9635899	0.5280970	0.9917861	0.9961934	0.6503765	0.1682562	1.0000000
0.2257786	0.3067589	0.8794098	0.4820541	0.5266170	0.9880958	0.9907287	0.5258295	0.2882288	1.0000000
0.2142532	0.4531855	0.4414197	0.9991791	0.2618629	0.9809513	0.9728262	0.4055356	0.1656067	1.0000000
0.2142542	0.4531427	0.4415353	0.9990067	0.2712552	0.4904872	0.9728880	0.4055996	0.1656181	1.0000000
0.2144350	0.4409528	0.4633792	0.9707016	0.5062520	0.9386078	0.4848401	0.3947227	0.1677354	1.0000000
0.2143879	0.4442397	0.4577383	0.9774697	0.4826016	0.8844436	0.6469529	0.1989885	0.1671814	1.0000000
0.2142482	0.4535975	0.4407813	1.0000000	0.0260012	0.0398237	0.0699129	0.0787189	0.0827739	1.0000000
0.2144831	0.4384516	0.4688277	0.9630670	0.5295038	0.9953099	0.9990303	0.9009898	0.4038161	0.5000010
