YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0000000	0.4464706	0.6278820	0.5555493	0.9637841	0.1111626	0.1013767	0.0759320	0.0526594	0.2492274
0.0794606	0.0000011	0.6309670	0.5632019	0.9496103	0.1292515	0.1013955	0.0760700	0.0579610	0.2587407
0.0794566	0.0262122	0.0000044	0.5631370	0.9496509	0.1292434	0.1013950	0.0760658	0.0578317	0.2585911
0.0794569	0.0262311	0.0710117	0.0000007	0.9496676	0.1292157	0.1013186	0.0755248	0.0059158	0.0696977
0.6167727	0.8782889	0.9918063	1.0000000	0.0000000	0.3216808	0.3004919	0.5007321	0.6096367	0.8025910
0.1029581	0.4315481	0.6198277	0.5366254	1.0000000	0.0000001	0.1013469	0.0757214	0.0415848	0.2269474
0.1077332	0.4464763	0.6278830	0.5555495	0.9637841	0.1111626	0.0000000	0.0759327	0.0526650	0.2492289
0.1095890	0.4517726	0.6307419	0.5626750	0.9505152	0.1282130	0.0961981	0.0000009	0.0575421	0.2580312
0.1097602	0.4523376	0.6310719	0.5635619	0.9488525	0.1301875	0.1013187	0.0755245	0.0000036	0.2590999
0.1097604	0.4523384	0.6310724	0.5635631	0.9488511	0.1301881	0.1013189	0.0755250	0.0047140	0.0000029
