YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.3993456	0.0632677	0.6149171	0.6365370	0.6270262	0.3346219	0.2642836	0.6004188	0.6815681	0.0159699
0.7465710	0.0199454	0.3986079	0.3998094	0.6242431	0.4701146	0.2988399	0.5842787	0.6698226	0.0198404
0.6871274	0.0621924	0.2027747	0.5191603	0.4548949	0.3366000	0.3054720	0.6601497	0.6132990	0.1103217
0.6022261	0.0671196	0.5033608	0.2985227	0.6242664	0.3834482	0.3049436	0.6439681	0.8653123	0.0228390
0.7138814	0.0652740	0.4009745	0.3516647	0.3582008	0.3547356	0.2540622	0.7638663	0.6620843	0.0387096
0.7972052	0.0981785	0.4463969	0.6059420	0.7128172	0.2159412	0.4032655	0.5596236	0.6812170	0.0185091
0.6304709	0.0615413	0.6197877	0.6860315	0.6286187	0.2453999	0.2138242	0.5732715	0.8786142	0.0475679
0.8067214	0.0779680	0.4606250	0.4900936	0.4773399	0.4406812	0.4667722	0.3885595	0.7523396	0.0383318
0.7211429	0.0641256	0.4436280	0.4300182	0.5701598	0.4328296	0.7122986	0.2271573	0.3200655	0.0328319
0.6581172	0.0703188	0.5378563	0.5777462	0.6047453	0.3892609	0.2910730	0.5918389	0.8667478	0.0170154
